delivery_no,customer_name,invoice_date_raw,customer_order_no,instruction_no,product_name,spec,color,qty,unit,unit_price,amount,remark,source_sheet
KSD2601001,KSD,2026-01-09 00:00:00,,,BHK637三层网 280平方克,,黑色,96.0,Y,12.5,1200.0,,KSD账单
KSD2601002,KSD,2026-01-18 00:00:00,,,"K387单层网布 软 54""",,黑色,500.0,Y,8.2,4100.0,,KSD账单
KSD2601002,KSD,2026-01-18 00:00:00,,,"K387单层网布 软 54""",,白色,300.0,Y,8.2,2460.0,,KSD账单
KSD2601003,KSD,2026-01-24 00:00:00,,,"180g 天鹅绒 54""",,黑色,5.0,Y,8.0,40.0,,KSD账单
KSD2601003,KSD,2026-01-24 00:00:00,,,"K387单层网布 加硬  54""",,黑色,917.0,Y,8.2,7519.4,,KSD账单
KSD2601003,KSD,2026-01-24 00:00:00,,,"K387单层网布 加硬  54""",,白色,899.0,Y,8.2,7371.8,,KSD账单
KSD2601004,KSD,2026-01-25 00:00:00,,,470G DL1200 三明治网布,,黑色,408.0,Y,15.5,6324.0,,KSD账单
YN2510001,福建省莆田市亿宁鞋业有限公司,2025-10-04 00:00:00,YH25044A-1.2BLACK,,"丝光经编布58""","丝光经编布58""",灰色12-4302TPG,50.0,码,19.5,1475.0,,亿宁帐单_
YN2510001,福建省莆田市亿宁鞋业有限公司,2025-10-04 00:00:00,YH25044B-1.2GREY,,"丝光经编布58""","丝光经编布58""",粉色11-0603TPG,40.0,码,19.5,1280.0,,亿宁帐单_
YN2510002,福建省莆田市亿宁鞋业有限公司,2025-10-08 00:00:00,YH25044A-1.2BLACK,,"丝光经编布58""","丝光经编布58""",黑色,20.0,码,19.5,390.0,,亿宁帐单_
YN2510003,福建省莆田市亿宁鞋业有限公司,2025-10-20 00:00:00,YH25044B-1.2GREY,,"HSW32 P6纹 单层网布56""","HSW32 P6纹 单层网布56""",灰色12-4302TPG,6.0,Y,6.4,38.4,,亿宁帐单_
JX2501001,健森（星鸿仟),2025-05-12 00:00:00,,,佳织布180平方克,,黑色,135.0,Y,7.4,1299.0,,健森账单
JX2501001,健森（星鸿仟),2025-05-12 00:00:00,,,佳织布180平方克,,黑色,65.0,Y,7.4,781.0,,健森账单
JX2501001,健森（星鸿仟),2025-05-12 00:00:00,,,佳织布180平方克,,米色,135.0,Y,7.4,1299.0,,健森账单
JX2501001,健森（星鸿仟),2025-05-12 00:00:00,,,三明治330码克,,黑色,26.0,Y,22.3,879.8,,健森账单
JX2501001,健森（星鸿仟),2025-05-12 00:00:00,,,三明治330码克,,黑色,26.0,Y,22.3,879.8,,健森账单
JX2501001,健森（星鸿仟),2025-05-12 00:00:00,,,三明治330码克,,米色,26.0,Y,22.3,879.8,,健森账单
JX2501001,健森（星鸿仟),2025-05-12 00:00:00,,,三明治330码克,,米色,26.0,Y,22.3,879.8,,健森账单
YF230301,福建省莆田市协龙鞋业有限公司,2023-03-08 00:00:00,CC23020304,AETREX/23/006-01/02,"黑色提花天鹅绒54""","黑色提花天鹅绒54""",,6.0,Y,9.5,57.0,,协龙帐单
YF230301,福建省莆田市协龙鞋业有限公司,2023-03-08 00:00:00,CC23020304,AETREX/23/006-03,"Grey1提花天鹅绒54""","Grey1提花天鹅绒54""",,5.0,Y,9.5,347.5,,协龙帐单
YF230301,福建省莆田市协龙鞋业有限公司,2023-03-08 00:00:00,CC23020304,AETREX/23/006-04,"Dark Chambray提花天鹅绒54""","Dark Chambray提花天鹅绒54""",,5.0,Y,9.5,347.5,,协龙帐单
YF230301,福建省莆田市协龙鞋业有限公司,2023-03-08 00:00:00,CC23020304,AETREX/23/006-05,"18-4018TPX提花天鹅绒54""","18-4018TPX提花天鹅绒54""",,5.0,Y,9.5,347.5,,协龙帐单
YF230301,福建省莆田市协龙鞋业有限公司,2023-03-08 00:00:00,CC23020304,AETREX/23/006-06,"Strom Cloud提花天鹅绒54""","Strom Cloud提花天鹅绒54""",,5.0,Y,9.5,347.5,,协龙帐单
YF230501,福建省莆田市协龙鞋业有限公司,2023-05-07 00:00:00,CC23050005,爱鞋仕/SS/006,"黑色提花天鹅绒54""","黑色提花天鹅绒54""",,5.0,Y,9.5,47.5,,协龙帐单
YF230501,福建省莆田市协龙鞋业有限公司,2023-05-07 00:00:00,CC23050005,爱鞋仕/SS/006,"浅灰提花天鹅绒54""","浅灰提花天鹅绒54""",,5.0,Y,9.5,347.5,,协龙帐单
YF230501,福建省莆田市协龙鞋业有限公司,2023-05-07 00:00:00,CC23050005,爱鞋仕/SS/006,"蓝色提花天鹅绒54""","蓝色提花天鹅绒54""",,5.0,Y,9.5,347.5,,协龙帐单
YF230501,福建省莆田市协龙鞋业有限公司,2023-05-07 00:00:00,CC23050005,爱鞋仕/SS/006,"深灰提花天鹅绒54""","深灰提花天鹅绒54""",,5.0,Y,9.5,347.5,,协龙帐单
YF230701,福建省莆田市协龙鞋业有限公司,2023-07-03 00:00:00,FA23060220,"AFB0418-0008
通用","灰色提花天鹅绒54""","灰色提花天鹅绒54""",,8.0,Y,9.5,376.0,,协龙帐单
SHL2505052,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001199,13117飞织面,,黑色,1550.0,双,6.1,9455.0,,双联帐单
SHL2505052,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001199,13117飞织舌面,,黑色,1550.0,双,0.9,1395.0,,双联帐单
SHL2505052,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001209,13117飞织面,,黑色,2842.0,双,6.1,17336.2,,双联帐单
SHL2505052,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001209,13117飞织舌面,,黑色,2842.0,双,0.9,2557.8,,双联帐单
SHL2505052,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001198,13117 飞织面,,暗蓝19-3929TPG,800.0,双,6.1,4880.0,,双联帐单
