invoice_no,delivery_no,customer_name,invoice_date_raw,total_amount,source_sheet
INV-KSD2601001,KSD2601001,KSD,2026-01-09 00:00:00,1200.0,KSD账单
INV-KSD2601002,KSD2601002,KSD,2026-01-18 00:00:00,6560.0,KSD账单
INV-KSD2601003,KSD2601003,KSD,2026-01-24 00:00:00,14931.2,KSD账单
INV-KSD2601004,KSD2601004,KSD,2026-01-25 00:00:00,6324.0,KSD账单
INV-YN2510001,YN2510001,福建省莆田市亿宁鞋业有限公司,2025-10-04 00:00:00,2755.0,亿宁帐单_
INV-YN2510002,YN2510002,福建省莆田市亿宁鞋业有限公司,2025-10-08 00:00:00,390.0,亿宁帐单_
INV-YN2510003,YN2510003,福建省莆田市亿宁鞋业有限公司,2025-10-20 00:00:00,38.4,亿宁帐单_
INV-JX2501001,JX2501001,健森（星鸿仟),2025-05-12 00:00:00,6898.200000000001,健森账单
INV-YF230301,YF230301,福建省莆田市协龙鞋业有限公司,2023-03-08 00:00:00,1447.0,协龙帐单
INV-YF230501,YF230501,福建省莆田市协龙鞋业有限公司,2023-05-07 00:00:00,1090.0,协龙帐单
INV-YF230701,YF230701,福建省莆田市协龙鞋业有限公司,2023-07-03 00:00:00,376.0,协龙帐单
INV-SHL2505052,SHL2505052,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,41944.0,双联帐单
INV-SHL2505053,SHL2505053,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,35784.0,双联帐单
INV-SHL2505054,SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,19600.0,双联帐单
INV-SHL2505055,SHL2505055,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,24500.0,双联帐单
INV-SC240724,SC240724,江西双驰,2024-07-29 00:00:00,435.0,双驰帐单
INV-SC240904,SC240904,江西双驰,2024-09-12 00:00:00,244.0,双驰帐单
INV-SC240908,SC240908,江西双驰,2024-09-16 00:00:00,20.0,双驰帐单
INV-SC241005,SC241005,江西双驰,2024-10-08 00:00:00,23.4,双驰帐单
INV-SC241007,SC241007,江西双驰,2024-10-14 00:00:00,30.0,双驰帐单
INV-SC241008,SC241008,江西双驰,2024-10-15 00:00:00,290.0,双驰帐单
INV-SC241011,SC241011,江西双驰,2024-10-24 00:00:00,65.0,双驰帐单
INV-SC241101,SC241101,江西双驰,2024-11-01 00:00:00,110.0,双驰帐单
INV-SC241103,SC241103,江西双驰,2024-11-10 00:00:00,30.0,双驰帐单
INV-SC241106,SC241106,江西双驰,2024-11-22 00:00:00,216.0,双驰帐单
INV-SC241107,SC241107,江西双驰,2024-11-23 00:00:00,156.0,双驰帐单
INV-SC241112,SC241112,江西双驰,2024-11-29 00:00:00,10.0,双驰帐单
INV-SC241201,SC241201,江西双驰,2024-12-02 00:00:00,10.0,双驰帐单
INV-JS260101,JS260101,,2026-01-30 00:00:00,22946.699999999997,吉升帐单
INV-HM250601,HM250601,和睦,2025-06-11 00:00:00,128157.5,和睦帐单
INV-AH2512012,AH2512012,莆田安健致远鞋业限公司,2025-12-04 00:00:00,100.0,安健帐单
INV-AH2512043,AH2512043,莆田安健致远鞋业限公司,2025-12-25 00:00:00,7996.6,安健帐单
INV-AH2512044,AH2512044,莆田安健致远鞋业限公司,2025-12-27 00:00:00,4750.0,安健帐单
INV-AH2512045,AH2512045,莆田安健致远鞋业限公司,2025-12-29 00:00:00,956.4,安健帐单
INV-AH2512046,AH2512046,莆田安健致远鞋业限公司,2025-12-30 00:00:00,5190.0,安健帐单
INV-AH2512047,AH2512047,莆田安健致远鞋业限公司,2025-12-30 00:00:00,3798.9,安健帐单
INV-AH2601001,AH2601001,莆田安健致远鞋业限公司,2026-01-02 00:00:00,8962.7,安健帐单
INV-AH2601002,AH2601002,莆田安健致远鞋业限公司,2026-01-02 00:00:00,11295.7,安健帐单
INV-AH2601003,AH2601003,莆田安健致远鞋业限公司,2026-01-02 00:00:00,13595.099999999999,安健帐单
INV-AH2601004,AH2601004,莆田安健致远鞋业限公司,2026-01-03 00:00:00,11563.3,安健帐单
INV-AH2601005,AH2601005,莆田安健致远鞋业限公司,2026-01-03 00:00:00,6190.8,安健帐单
INV-AH2601006,AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,9057.05,安健帐单
INV-AH2601007,AH2601007,莆田安健致远鞋业限公司,2026-01-04 00:00:00,23414.3,安健帐单
INV-AH2601008,AH2601008,莆田安健致远鞋业限公司,2026-01-04 00:00:00,6324.099999999999,安健帐单
INV-AH2601009,AH2601009,莆田安健致远鞋业限公司,2026-01-05 00:00:00,6783.6,安健帐单
INV-AH2601010,AH2601010,莆田安健致远鞋业限公司,2026-01-05 00:00:00,6435.2,安健帐单
INV-AH2601011,AH2601011,莆田安健致远鞋业限公司,2026-01-05 00:00:00,16586.6,安健帐单
INV-AH2601012,AH2601012,莆田安健致远鞋业限公司,2026-01-05 00:00:00,8275.3,安健帐单
INV-AH2601013,AH2601013,莆田安健致远鞋业限公司,2026-01-05 00:00:00,3207.0000000000005,安健帐单
INV-AH2601014,AH2601014,莆田安健致远鞋业限公司,2026-01-06 00:00:00,12805.5,安健帐单
INV-AH2601015,AH2601015,莆田安健致远鞋业限公司,2026-01-06 00:00:00,8498.199999999999,安健帐单
INV-AH2601016,AH2601016,莆田安健致远鞋业限公司,2026-01-06 00:00:00,16024.300000000001,安健帐单
INV-AH2601017,AH2601017,莆田安健致远鞋业限公司,2026-01-07 00:00:00,13795.7,安健帐单
INV-AH2601018,AH2601018,莆田安健致远鞋业限公司,2026-01-07 00:00:00,10417.1,安健帐单
INV-AH2601019,AH2601019,莆田安健致远鞋业限公司,2026-01-07 00:00:00,12994.9,安健帐单
INV-AH2601020,AH2601020,莆田安健致远鞋业限公司,2026-01-07 00:00:00,4518.2,安健帐单
INV-AH2601021,AH2601021,莆田安健致远鞋业限公司,2026-01-08 00:00:00,2309.3999999999996,安健帐单
INV-AH2601022,AH2601022,莆田安健致远鞋业限公司,2026-01-08 00:00:00,4657.5,安健帐单
INV-AH2601023,AH2601023,莆田安健致远鞋业限公司,2026-01-08 00:00:00,3664.899999999999,安健帐单
INV-AH2601024,AH2601024,莆田安健致远鞋业限公司,2026-01-08 00:00:00,9345.8,安健帐单
INV-AH2601025,AH2601025,莆田安健致远鞋业限公司,2026-01-08 00:00:00,4965.5,安健帐单
INV-AH2601026,AH2601026,莆田安健致远鞋业限公司,2026-01-08 00:00:00,6320.0,安健帐单
INV-AH2601027,AH2601027,莆田安健致远鞋业限公司,2026-01-08 00:00:00,7031.2,安健帐单
INV-AH2601028,AH2601028,莆田安健致远鞋业限公司,2026-01-09 00:00:00,5958.099999999999,安健帐单
INV-AH2601029,AH2601029,莆田安健致远鞋业限公司,2026-01-10 00:00:00,4847.300000000001,安健帐单
INV-AH2601030,AH2601030,莆田安健致远鞋业限公司,2026-01-11 00:00:00,11283.5,安健帐单
INV-AH2601031,AH2601031,莆田安健致远鞋业限公司,2026-01-12 00:00:00,12570.000000000002,安健帐单
INV-AH2601032,AH2601032,莆田安健致远鞋业限公司,2026-01-12 00:00:00,839.4,安健帐单
INV-AH2601033,AH2601033,莆田安健致远鞋业限公司,2026-01-12 00:00:00,7195.8,安健帐单
INV-AH2601034,AH2601034,莆田安健致远鞋业限公司,2026-01-12 00:00:00,9452.0,安健帐单
INV-AH2601035,AH2601035,莆田安健致远鞋业限公司,2026-01-12 00:00:00,15947.5,安健帐单
INV-AH2601036,AH2601036,莆田安健致远鞋业限公司,2026-01-12 00:00:00,4438.0,安健帐单
INV-AH2601037,AH2601037,莆田安健致远鞋业限公司,2026-01-12 00:00:00,9580.5,安健帐单
INV-AH2601038,AH2601038,莆田安健致远鞋业限公司,2026-01-12 00:00:00,9796.7,安健帐单
INV-AH2601039,AH2601039,莆田安健致远鞋业限公司,2026-01-14 00:00:00,7626.5,安健帐单
