product_code,name,spec,color,base_unit
WD001724,250G/Y 14-3710TPG兰紫色 YSK223单层网布54″,,14-3710TPG兰紫色,码
WK000101,"230G/Y 黑色 K208网布54""",,黑色,码
WK000102,"230G/Y 白色 K208网布54""",,白色,码
WK000153,"230G/Y 玫瑰红14-1310TPG K208网布54""",,玫瑰红14-1310TPG,码
WK000155,"230G/Y 黑灰18-0306TPG K208网布54""",,黑灰18-0306TPG,码
WS000590,"420G/Y 黑色 YS028三明治400 54""",,黑色,码
WS001009,"420G/Y 白帽灰12-0304TPG YS028三明治54""",,白帽灰12-0304TPG,码
22MS00791,"亮白色11-4001TPG XF-3066纹 单层网布 54""",,亮白色11-4001TPG,Y
22FB00235,"白色235g  （健康布）加密针织布54""",,白色,Y
23IM00492,"星球粉ORB Pink 006-70-08 DSK01 经编佳绩布 54"" 240g",,星球粉,Y
WB10878,"白色210D牛津布54""","54""",白色,码
WB13220,"180G 白色K209网布54""",,白色,码
WS000407,"380G白色 YD-0731三明治网布上树脂54""",,白色,码
WB13224,"380G 白色K666单层网布54""","54""",白色,码
24FB01419,"火红色18-1664TPG 300D 粗纹牛津布 54""",,火红色18-1664TPG,Y
24FB01420,"快活绿18-6030TPG 300D 粗纹牛津布 54""",,快活绿18-6030TPG,Y
24FB01421,"黑色19-0303TPG 300D 粗纹牛津布 54""",,黑色19-0303TPG,Y
24FB01424,"快活绿18-6030TPG 210D 加密牛津布 54""",,快活绿18-6030TPG,Y
24FB01423,"米白色11-0103TPG 210D 加密牛津布 54""",,米白色11-0103TPG,Y
24FB01427,"米白色11-0103TPG 300D 粗纹牛津布 54""",,米白色11-0103TPG,Y
24MS02468,"青豆绿18-5616TPG 200g 小米通布 54""",,青豆绿18-5616TPG,码
23MS02119,"黑色19-0303TPG 200g 小米通布54""",,黑色19-0303TPG,Y
23MS02213,"米白色11-0103TPG 200g 小米通布 54""",,米白色11-0103TPG,Y
WS000589,"420G/Y 白色 YS028三明治400 54""",,白色,码
WJ000068,"180G冠军蓝色佳积布58""",,冠军蓝19-3922TPG,码
20MS00291,"2mm 白色 平板弹力三层网 54""",,白色,Y
22FB00195,"黑色 TF18-Q08 220g 磨毛布54""",,黑色,Y
22MS00311,"黑色 K107 250g 单层网布 54""",,黑色,Y
23FB00293,"白色 120g 佳积布 54""",,白色,Y
23FB00295,"黑色 120g 佳积布 54""",,黑色,Y
23IM00004,"白色 佳绩布 54"" 120g 耐黄",,白色,Y
24MS02170,"海盐色Chalk 036-90-02 LY-YG1190/YS1190纹 250g 小四方泡布 54""",,海盐色036-90-02,Y
24MS02205,"绿湖色Glitch Aqua 082-82-12 LY-YG1190/YS1190纹 250g 小四方泡布 54""",,绿湖色082-82-12,Y
WK000004,"180G 黑色K208布54""",,黑色,码
WY000085,"黑色210D牛津布54""","54""",黑色,码
WB12252,"棕色10安帆布54""",,棕色,Y
WB16877,"棕色8安帆布54""",,棕色,Y
24MS01965,"秋橘色15-1263TPG K107 250g 单层网布 54""",,秋橘色15-1263TPG,Y
24FB01103,"舞台蓝19-4111TPG BA22198-1 三明治网布 54""",,舞台蓝19-4111TPG,Y
24FB01104,"舞台蓝19-4111TPG BA22198-2 单层网布 54""",,舞台蓝19-4111TPG,Y
24FB01107,"黑色 BA22198-1 三明治网布 54""",,黑色,Y
24FB01108,"黑色 BA22198-2 单层网布 54""",,黑色,Y
24FB01109,"白蜡灰18-5203TPG BA22198-1 三明治网布 54""",,白蜡灰18-5203TPG,Y
24FB01110,"深灰19-3906TPG BA22198-2 单层网布 54""纸质补单号：0510-1越",,深灰19-3906TPG,Y
24FB01112,"黄松绿19-5320TPG BA22198-1 三明治网布 54""",,黄松绿19-5320TPG,Y
24FB01113,"黄松绿19-5320TPG BA22198-2 单层网布 54""",,黄松绿19-5320TPG,Y
24FB01129,"白色 BA22198-1 三明治网布 54"" 耐黄",,白色,Y
24FB01130,"白色 BA22198-2 单层网布 54"" 耐黄",,白色,Y
24FB01132,"烟土16-1010TPG BA22198-1 三明治网布 54""",,烟土16-1010TPG,Y
24FB01134,"烟土16-1010TPG BA22198-2 单层网布 54""",,烟土16-1010TPG,Y
24FB01137,"香葱绿19-0323TPG BA22198-1 三明治网布 54""",,香葱绿19-0323TPG,Y
24FB01138,"香葱绿19-0323TPG BA22198-2 单层网布 54""",,香葱绿19-0323TPG,Y
24FB01147,"月光米13-0000TPG BA22198-1 三明治网布 54""",,月光米13-0000TPG,Y
24FB01148,"月光米13-0000TPG BA22198-2 单层网布 54""纸质补单号：0510-1越",,月光米13-0000TPG,Y
24FB01150,"雾蓝15-4008TPG BA22198-1 三明治网布 54""",,雾蓝15-4008TPG,Y
24FB01151,"雾蓝15-4008TPG BA22198-2 单层网布 54""",,雾蓝15-4008TPG,Y
22IM00393,"白色 佳积布 54"" 220g",,白色,Y
19FB00716,"白色 180g 丝光布 54""",,白色,Y
21MS00474,"海军蓝19-3921TPG LY-TS1595 200g 环保内里单层网布 54""",,海军蓝19-3921TPG,Y
24IM00184,"黑色 DSK01 经编佳绩布 54"" 180平方克/250码克",,黑色,Y
24IM00185,"亚麻色Linen 034-84-05 DSK01 经编佳绩布 54""180平方克/250码克",,亚麻色034-84-05,Y
C0300016,"210D 牛津布 54"" 白色",,白色,码
C0300017,"210D 牛津布 54"" 黑色",,黑色,码
C0501833,"250g 莱卡布 A-01 54"" 105-74-21 蓝",,105-74-21蓝,码
C0500394,"250g 莱卡布 A-01 54"" 109-98-01白",,109-98-01白,码
C0501105,"250g 莱卡布 A-01 54"" 116-85-09蓝",,116-85-09蓝,码
C0500407,"250g 莱卡布 A-01 54"" 118-30-29蓝",,118-30-29蓝,码
C0500421,"250g 莱卡布 A-01 54"" 126-21-11蓝",,126-21-11蓝,码
C0501464,"250g 莱卡布 A-01 54"" 139-18-00黑",,139-18-00黑,码
C0501148,"250g 莱卡布 A-01 / 54"" / 155-45-20粉",,155-45-20粉,码
C0501835,"250g 莱卡布 A-01 54"" 160-61-28粉色",,160-61-28粉色,码
