supplier_name,receipt_date,product_code,product_name,received_qty,unit,related_external_order_no
双辉,1/4,WD001724,250G/Y 14-3710TPG兰紫色 YSK223单层网布54″,104.8,码,4510173274
双锦/大丰,1/13,WK000153,230G/Y 玫瑰红14-1310TPG K208网布54″,108,码,4510173274
双锦/大丰,1/9,WK000155,230G/Y 黑灰18-0306TPG K208网布54″,173.913043478261,码,4510173274
联盛/泓大,1/7,WS001009,420G/Y 白帽灰12-0304TPG YS028三明治,60,码,4510173274
鑫达盛,1/7,,"225G/Y 莱卡54""黑色",229.6,码,3000183006
鑫达盛,3/3,,"225G/Y 莱卡54""AE8M粉笔白",200,码,3000183007
宝辉,1/9,,"225G/Y 莱卡54""浅棕035-75-06",145.2,码,3000183005
盛玮,1/9,,"190G/Y 佳积布54""黑色",386.666666666667,码,3000183006
双辉/金宏盛,3/20,,"190G/Y 佳积布54""AE8M粉笔白",298.888888888889,码,3000183007
荣翔/金宏盛,2/22,,"190G/Y 佳积布54""浅棕035-75-06",476.111111111111,码,3000183005
峰星,1/5,,黑色K184尼龙布54英寸,525.2,码,HX1190-001
峰星,1/10,,军蓝K184尼龙布54英寸,444.230769230769,码,HX1190-003
双锦,1/7,22FB00235,"白色235g  （健康布）加密针织布54""",153.030303030303,Y,ALCPO2500019
双锦/大丰,1/12,23IM00492,"星球粉ORB Pink 006-70-08 DSK01 经编佳绩布 54"" 240g",225.714285714286,Y,ALCPO2426170
永顺,2/18,24FB01419,"火红色18-1664TPG 300D 粗纹加密牛津布 54""",657,Y,ALCPO2500032
永顺/金宏盛,2/28,24FB01420,"快活绿18-6030TPG 300D 粗纹加密牛津布 54""",714,Y,ALCPO2500032
永顺,2/18,24FB01421,"黑色19-0303TPG 300D 粗纹加密牛津布 54""",549,Y,ALCPO2500032
福泽,2/21,24FB01424,"快活绿18-6030TPG 210D 牛津布54""",125,Y,ALCPO2500032
福泽,2/17,24FB01423,"米白色11-0103TPG 210D 牛津布54""",251,Y,ALCPO2500032
永顺,2/21,24FB01427,"米白色11-0103TPG 300D 粗纹加密牛津布 54""",117,Y,ALCPO2500032
荣翔/大丰,3/2,24MS02468,"青豆绿18-5616TPG200g 小米通布 54""",189.090909090909,Y,ALCPO2500035
荣翔,2/23,23MS02119,"黑色19-0303TPG 200g 小米通布54""",820.454545454545,Y,ALCPO2500035
荣翔,2/15,23MS02213,"米白色11-0103TPG 200g 小米通布 54""",1258.18181818182,Y,ALCPO2500035
联盛,1/6,WS000589,420G/Y 白色 YS028三明治54″,52.25,码,4510173836
盛玮,1/9,23FB00293,"120g佳积布 54""白色",836.666666666667,Y,ALCPO2500093
盛玮,1/11,23IM00004,"白色 佳绩布 54"" 120g 耐黄",997.5,Y,AHJPO2501525
盛玮,2/13,23IM00004,"白色 佳绩布 54"" 120g 耐黄",3882.5,Y,AHJPO2501525
荣翔/大丰,1/16,24MS02205,"绿湖色Glitch Aqua 082-82-12 LY-YG1190/YS1190纹 250g 小四方泡布 54""",100,Y,AHJPO2501525
盛玮,1/9,23FB00295,"黑色 120g 佳积布 54""",200.833333333333,Y,ALCPO2500197
峰星,1/10,,黑K905低弹平布网布,202.173913043478,Y,微信截图
峰星/莆田染,1/10,24MS01965,"秋橘色15-1263TPG K107 250g 单层网布 54""",8,Y,ALCPO2500416
大林/大丰,2/27,24FB01103,"舞台蓝19-4111TPG BA22198-1 三明治网布 54""",154.736842105263,Y,AHJPO2502094
英利明/大丰,2/23,24FB01104,"舞台蓝19-4111TPG BA22198-2 单层网布 54""",53.6,Y,AHJPO2502094
大林,2/18,24FB01107,"黑色 BA22198-1 三明治网布 54""",360,Y,AHJPO2502094
英利明,3/11,24FB01108,"黑色 BA22198-2 单层网布 54""",138.8,Y,AHJPO2502094
大林/大丰,3/13,24FB01109,"白蜡灰18-5203TPG BA22198-1 三明治网布 54""",110.526315789474,Y,AHJPO2502094
大林/大丰,2/26,24FB01112,"黄松绿19-5320TPG BA22198-1 三明治网布 54""",103.157894736842,Y,AHJPO2502094
英利明/大丰,2/25,24FB01113,"黄松绿19-5320TPG BA22198-2 单层网布 54""",32,Y,AHJPO2502094
大林,2/18,24FB01129,"白色 BA22198-1 三明治网布 54"" 耐黄",360,Y,AHJPO2502094
英利明,3/3,24FB01130,"白色 BA22198-2 单层网布 54"" 耐黄",111.6,Y,AHJPO2502094
大林/大丰,2/25,24FB01132,"烟土16-1010TPG BA22198-1 三明治网布 54""",76.8421052631579,Y,AHJPO2502094
英利明/大丰,2/26,24FB01134,"烟土16-1010TPG BA22198-2 单层网布 54""",27.2,Y,AHJPO2502094
大林/大丰,3/3,24FB01137,"香葱绿19-0323TPG BA22198-1 三明治网布 54""",55.7894736842105,Y,AHJPO2502094
大林/大丰,2/24,24FB01147,"月光米13-0000TPG BA22198-1 三明治网布 54""",115.526315789474,Y,AHJPO2502094
大林/大丰,3/1,24FB01150,"雾蓝15-4008TPG BA22198-1 三明治网布 54""",58.4210526315789,Y,AHJPO2502094
英利明/大丰,2/22,24FB01151,"雾蓝15-4008TPG BA22198-2 单层网布 54""",23.2,Y,AHJPO2502094
峰星,1/14,19FB00716,"白色 180g 丝光布 54""",101.111111111111,Y,ALCPO2500539
双锦,2/28,24IM00184,"黑色 DSK01 经编佳绩布 54"" 180平方克/250码克",46.0714285714286,Y,ALCPO2500539
双锦/泓大,2/28,24IM00185,"亚麻色Linen 034-84-05 DSK01 经编佳绩布 54""180平方克/250码克",48,Y,ALCPO2500539
尚好,2/26,C0300016,"210D 牛津布 54"" 白色",215,码,PA250113025
尚好,2/26,C0300017,"210D 牛津布 54"" 黑色",200,码,PA250113025
鑫达盛/大丰,2/27,C0501833,"250g 莱卡布 A-01 54"" 105-74-21 蓝",171.111111111111,码,PA250113025
鑫达盛,2/17,C0500394,"250g 莱卡布 A-01 54"" 109-98-01白",597.307692307692,码,PA250113025
鑫达盛/大丰,3/5,C0501105,"250g 莱卡布 A-01 54"" 116-85-09蓝",163.076923076923,码,PA250113025
鑫达盛,3/6,C0500407,"250g 莱卡布 A-01 54"" 118-30-29蓝",546.923076923077,码,PA250113025
鑫达盛,3/9,C0500421,"250g 莱卡布 A-01 54"" 126-21-11蓝",2293.58490566038,码,PA250113025
鑫达盛,2/26,C0501464,"250g 莱卡布 A-01 54"" 139-18-00黑",1573.7037037037,码,PA250113025
鑫达盛,3/3,C0501148,"250g 莱卡布 A-01 54"" 155-45-20粉",1220.74074074074,码,PA250113025
鑫达盛/大丰,3/1,C0501835,"250g 莱卡布 A-01 54"" 160-61-28粉色",131.111111111111,码,PA250113025
华宇,3/1,C0100199,"CL24154纹 430g 三明治网布 A-01 54"" 116-85-09蓝",222.888888888889,码,PA250113025
华宇,2/26,C0100113,"CL24154纹 430g 三明治网布 A-01 54"" 126-21-11蓝",1106.66666666667,码,PA250113025
华宇,2/26,C0100377,"CL24154纹 430g 三明治网布 A-01 54"" 139-18-00黑",963.333333333333,码,PA250113025
裕泰/金宏盛,3/8,C0100820,"CL24186三明治网 54"" ​118-34-36蓝-A",231.636363636364,码,PA250113025
裕泰/金宏盛,3/3,C0100254,"CL24186三明治网 54"" 118-34-36蓝",392.363636363636,码,PA250113025
裕泰/金宏盛,3/3,C0100255,"CL24186三明治网 54"" 139-18-00黑",763.272727272727,码,PA250113025
裕泰/金宏盛,3/9,C0100255,"CL24186三明治网 54"" 139-18-00黑",655.818181818182,码,PA250113025
峰星/大丰,2/28,C0501576,"DJ132 POLYPAG 单层网布 240g 54"" 011-46-40红",109.583333333333,码,PA250113026
峰星/大丰,2/28,C0502270,"DJ132 POLYPAG 单层网布 240g 54"" 038-90-04浅黄",108.333333333333,码,PA250113025
峰星,2/24,C0502156,"DJ132 POLYPAG 单层网布 240g 54"" 074-53-20绿",474,码,PA250113025
峰星/大丰,2/27,C0501865,"DJ132 POLYPAG 单层网布 240g 54"" 082-82-12绿",106.8,码,PA250113026
峰星,扣库前面已发,C0501825,"DJ132 POLYPAG 单层网布 240g 54"" 109-98-01白",350,码,PA250113025
峰星,2/26,C0501825,"DJ132 POLYPAG 单层网布 240g 54"" 109-98-01白",387.083333333333,码,PA250113026
峰星/大丰,2/26,C0503095,"DJ132 POLYPAG 单层网布 240g 54"" 117-38-09蓝灰",210,码,PA250113025
峰星/大丰,3/5,C0502296,"DJ132 POLYPAG 单层网布 240g 54"" 118-34-36蓝",120.833333333333,码,PA250113025
峰星,2/21,C0502157,"DJ132 POLYPAG 单层网布 240g 54"" 152-85-11粉",1132.08333333333,码,PA250113025
峰星/大丰,2/28,C0502158,"DJ132 POLYPAG 单层网布 240g 54"" 160-61-28粉",103.333333333333,码,PA250113026
峰星,3/1,C0500322,"DJ132 POLYPAG 单层网布 240g 54"" 黑色",1277.08333333333,码,PA250113025
尚好,3/3,C0300047,"DYT 4999 POLY 300D 牛津布 上防脱纱 200g 54"" 109-98-01白",15,码,PA250113025
双辉/泓大,2/26,C0503027,"K208 单层网布 180g 54"" 000-47-00灰",305.555555555556,码,PA250113025
双辉/泓大,3/4,C0503046,"K208 单层网布 180g 54"" 009-58-31红",125,码,PA250113025
双辉/泓大,3/1,C0503094,"K208 单层网布 180g 54"" 034-75-11棕",308.333333333333,码,PA250113025
扣库,扣库,C0503174,"K208 单层网布 180g 54"" 109-98-01白",400,码,PA250113025
双锦,3/8,C0503174,"K208 单层网布 180g 54"" 109-98-01白",545,码,PA250113025
双辉/泓大,2/25,C0503374,"K208 单层网布 180g 54"" 115-61-07蓝",169.444444444444,码,PA250113025
双辉/泓大,3/1,C0503017,"K208 单层网布 180g 54"" 126-21-11蓝",361.111111111111,码,PA250113025
双辉,3/1,C0502691,"K208 单层网布 180g 54"" 139-18-00黑",2360,码,PA250113025
双辉/泓大,2/26,C0503030,"K208 单层网布 180g 54"" 159-23-15暗红",194.444444444444,码,PA250113025
双辉/大丰,2/24,C0502192,"YS004M 经编组织布 230G 54"" 014-68-51橙",55.6,码,PA250113026
双辉/金宏盛,3/1,C0502102,"YS004M 经编组织布 230G 54"" 017-79-00灰",287.2,码,PA250113025
双辉/大丰,2/27,C0502195,"YS004M 经编组织布 230G 54"" 036-90-02米白",43.4782608695652,码,PA250113026
双辉/大丰,3/3,C0502161,"YS004M 经编组织布 230G 54"" 037-81-37黄",239.130434782609,码,PA250113025
双辉/大丰,2/27,C0501572,"YS004M 经编组织布 230G 54"" 070-88-46绿色",140,码,PA250113025
盛玮,3/6,C0501892,"YS004M 经编组织布 230G 54"" 139-18-00黑",610.4,码,PA250113025
双辉,2/22,C0502193,"YS004M 经编组织布 230G 54"" 152-85-11粉",580,码,PA250113025
荣翔/大丰,2/28,C0501868,"YS020M 加密真美布 250g 54"" 011-46-40红",128,码,PA250113026
荣翔/大丰,2/25,C0501866,"YS020M 加密真美布 250g 54"" 048-90-17黄",138,码,PA250113026
荣翔/大丰,2/28,C0501864,"YS020M 加密真美布 250g 54"" 053-79-38黄",138,码,PA250113026
荣翔,2/12,C0501352,"YS020M 加密真美布 250g 54"" 109-98-01白",736.153846153846,码,PA250113025
泉亿,3/6,C0501970,"YS020M 加密真美布 250g 54"" 139-18-00黑",505.6,码,PA250113025
联盛/金宏盛,3/3,C0100294,"YS-028 三明治网 54"" 000-64-00灰色",244.25,码,PA250113025
联盛/大丰,3/3,C0100433,"YS-028 三明治网 54"" 010-47-34红色",147.5,码,PA250113025
联盛/金宏盛,3/7,C0100573,"YS-028 三明治网 54"" 017-79-00灰",315.5,码,PA250113025
联盛/大丰,2/27,C0100434,"YS-028 三明治网 54"" 070-88-46绿色",85,码,PA250113025
联盛/金宏盛,2/23,C0100232,"YS-028 三明治网 54"" 109-98-01白色",247.25,码,PA250113025
联盛/金宏盛,2/26,C0100518,"YS-028 三明治网 54"" 139-18-00黑",1156.5,码,PA250113025
荣翔/大丰,2/23,C0501903,"YS1811 亮光组织布 230g 54"" 014-82-12 粉色",130.434782608696,码,PA250113025
荣翔,2/26,C0501799,"YS1811 亮光组织布 230g 54"" 109-98-01白",503.2,码,PA250113025
荣翔/大丰,2/27,C0501810,"YS1811 亮光组织布 230g 54"" 160-61-28粉色",216,码,PA250113025
峰星,3/11,20IM00791,"黑色 低弹平布 54"" 220g",522.727272727273,Y,AHJPO2503892
大林/大丰,2/28,24FB01135,"百合白11-4301TPG BA22198-1 三明治网布 54""",51.5789473684211,Y,AHJPO2503892
英利明/大丰,2/25,24FB01136,"百合白11-4301TPG BA22198-2 单层网布 54""",20.8,Y,AHJPO2503892
英利明/大丰,2/25,24FB01138,"香葱绿19-0323TPG BA22198-2 单层网布 54""",24.4,Y,AHJPO2503892
梦锦,3/17,24FB01166,白蜡灰18-5203TPG YS237R 430g 颗丽绒 羊羔毛 54“,211.395450568679,Y,AHJPO2503892
