external_order_no,customer_name,order_date,remarks
4510173274,双源,2025-01-02 00:00:00,
3000183006,恒鑫,2025-01-02 00:00:00,
3000183007,恒鑫,2025-01-02 00:00:00,退回剩218Y
3000183005,恒鑫,2025-01-02 00:00:00,1月2号收到
HX1190-001,恒鑫,2025-01-03 00:00:00,
HX1190-002,恒鑫,2025-01-03 00:00:00,
HX1190-003,恒鑫,2025-01-03 00:00:00,同深蓝一个色
HX1190-005,恒鑫,2025-01-03 00:00:00,
HX1190-018,恒鑫,2025-01-03 00:00:00,
ALCPO2500019,安健致远,2025-01-03 00:00:00,
ALCPO2426170,安健致远,2025-01-03 00:00:00,
P250102003,福联/安迪星,2025-01-03 00:00:00,扣11/25号
4510173360,星昌/星联,2025-01-03 00:00:00,
4510173569,星昌/星联,2025-01-03 00:00:00,
CGD20250100014,联成,2025-01-03 00:00:00,
CGD20250100031,联成,2025-01-03 00:00:00,
CGD20250100078,联成,2025-01-03 00:00:00,
CGD20250100150,联成,2025-01-04 00:00:00,
CGD20250100196,联成,2025-01-04 00:00:00,
ALCPO2500032,安健致远,2025-01-04 00:00:00,1/5收到色卡
ALCPO2500035,安健致远,2025-01-04 00:00:00,按色卡修
4510173836,双源,2025-01-05 00:00:00,
4510173961,星昌/星联,2025-01-05 00:00:00,
ALCPO2500083,安健致远,2025-01-06 00:00:00,库存16Y
ALCPO2500093,安健致远,2025-01-06 00:00:00,
AHJPO2501525,安恒,2025-01-07 00:00:00,
4510174318,星昌/星联,2025-01-07 00:00:00,
4510174193,星昌/星联,2025-01-07 00:00:00,
CGD20250100313,联成,2025-01-08 00:00:00,
ALCPO2500197,安健致远,2025-01-08 00:00:00,
ALCPO2500225,安健致远,2025-01-09 00:00:00,
CGD20250100369,联成,2025-01-09 00:00:00,
CGD20250100378,联成,2025-01-09 00:00:00,
微信截图,联成,2025-01-10 00:00:00,
CGD20250100394,联成,2025-01-10 00:00:00,
4510174929,星昌/星联,2025-01-10 00:00:00,
ALCPO2500416,安健致远,2025-01-11 00:00:00,
AHJPO2502094,安恒,2025-01-11 00:00:00,1/4收到
CGD20250100503,联成,2025-01-11 00:00:00,有86Y发错扣用
4510175149,星昌/星联,2025-01-12 00:00:00,
ALCPO2500535,安健致远,2025-01-12 00:00:00,
ALCPO2500539,安健致远,2025-01-12 00:00:00,
CGD20250100549,联成,2025-01-13 00:00:00,
CGD20250100568,联成,2025-01-13 00:00:00,有86Y发错扣用
PA250113025,福联/安迪星,2025-01-13 00:00:00,
PA250113026,福联/安迪星,2025-01-13 00:00:00,
CGD20250100581,联成,2025-01-13 00:00:00,
CGD20250100602,联成,2025-01-14 00:00:00,
CGD20250100598,联成,2025-01-14 00:00:00,
AHJPO2503892,安恒,2025-01-14 00:00:00,2/15收到
PA250114018,福联/安迪星,2025-01-14 00:00:00,2/20收到
PA250114039,福联/安迪星,2025-01-14 00:00:00,1/17收到
CGD20250100630,联成,2025-01-14 00:00:00,
ALCPO2500594,安健致远,2025-01-14 00:00:00,
4510175346,双源,2025-01-14 00:00:00,1/15收到
CGD20250100638,联成,2025-01-14 00:00:00,
