2025年大货接单及销售汇总表,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,
接单日期,批号,客户,客户订单号码,指令号,型体,"料号
物料编号",刀模,品   名,纹路,要求,规格,颜色,订单        数量,单位,备注,供应商,供应商交货信息,,,,,,,,实际出货明细,,,,,,,,,,库存,,
,,,,,,,,,,,,,,,,,日期,数量,色号,日期,数量,日期,数量,备注,日,数量,日期,数量,日期,数量,日期,数量,日期,数量,,,
2025-01-02 00:00:00,K06173,双源,4510173274,5S002094,,WD001724,,250G/Y 14-3710TPG兰紫色 YSK223单层网布54″,新K208/200g/m2,,,14-3710TPG兰紫色,98,码,,双辉,1/4,104.8,现货283#,1/8,5,,,,1/8,98,,5,,,,,,,6.8,,
2025-01-02 00:00:00,K06173,双源,4510173274,5S002097\5S002098,,WK000101,,230G/Y 黑色 K208网布54″,170-180g/m2K208,四级拼白,,黑色,237,码,,扣库,,,B2410300512,,,,,,1/8,229,2/23,8,,,,,,,-237,,
2025-01-02 00:00:00,K06173,双源,4510173274,5S002094,,WK000102,,230G/Y 白色 K208网布54″,170-180g/m2K208,本白+耐酚黄,,白色,141,码,,扣库,,,,,,,,,1/8,141,,,,,,,,,-141,,
2025-01-02 00:00:00,K06173,双源,4510173274,5S002095,,WK000153,,230G/Y 玫瑰红14-1310TPG K208网布54″,170-180g/m2K208,,,玫瑰红14-1310TPG,107,码,回修2/15,双锦/大丰,1/13,108,F5010153R2,,,,,2J,3/1,107,,3,,,,,,,-2,,
2025-01-02 00:00:00,K06173,双源,4510173274,5S002096,,WK000155,,230G/Y 黑灰18-0306TPG K208网布54″,170-180g/m2K208,,,黑灰18-0306TPG,122,码,,双锦/大丰,1/9,173.913043478261,F5010152,,,,,,1/14,122,,,,,,,,,51.9130434782609,,
2025-01-02 00:00:00,K06173,双源,4510173274,5S002096,,WS000590,,420G/Y 黑色 YS028三明治54″,028F消光400g/Y,,,黑色,30,码,扣270#3件半,扣库,,,,,,,,,1/8,30,,,,,,,,,-30,,
2025-01-02 00:00:00,K06173,双源,4510173274,5S002097\5S002098,,WS000590,,420G/Y 黑色 YS028三明治54″,028F消光400g/Y,,,黑色,60,码,,扣库,,,,,,,,,1/8,60,,,,,,,,,-60,,
2025-01-02 00:00:00,K06173,双源,4510173274,5S002095,,WS001009,,420G/Y 白帽灰12-0304TPG YS028三明治,028F消光400g/Y,,,白帽灰12-0304TPG,27,码,回修2/24,联盛/泓大,1/7,60,DH7222,,,,,,3/7,27,,7,,,,,,,26,,
2025-01-02 00:00:00,K06174,恒鑫,3000183006,HX5919,100251040,,,"225G/Y 莱卡54""黑色",半光180g/m2,,,黑色,218,码,,鑫达盛,1/7,229.6,,,,,,,1/7,218,,,,,,,,,11.6,,
2025-01-02 00:00:00,K06174,恒鑫,3000183007,HX5918,100251041,,,"225G/Y 莱卡54""AE8M粉笔白",半光180g/m2,,,AE8M粉笔白,218,码,退回剩218Y,鑫达盛,3/3,200,561#,1/4,210.769230769231,,,宝辉282#退回,3/3,218,,,,,,,,,192.769230769231,,
2025-01-02 00:00:00,K06174,恒鑫,3000183005,HX5917,100251039,,,"225G/Y 莱卡54""浅棕035-75-06",半光180g/m2,,,浅棕035-75-06,140,码,1月2号收到,宝辉,1/9,145.2,334#,,,,,,1/9,140,,,,,,,,,5.19999999999999,,
2025-01-02 00:00:00,K06175,恒鑫,3000183006,HX5919,100251040,,,"190G/Y 佳积布54""黑色",130g/m2双面布,,,黑色,347,码,,盛玮,1/9,386.666666666667,现货,,,,,,1/9,347,,49,,,,,,,-9.33333333333337,,
2025-01-02 00:00:00,K06175,恒鑫,3000183007,HX5918,100251041,,,"190G/Y 佳积布54""AE8M粉笔白",130g/m2双面布,,,AE8M粉笔白,347,码,重做的入库,双辉/金宏盛,3/20,298.888888888889,T25030150,1/4,287.222222222222,,,3件友恒H150,3/8,347,,,,,,,,,239.111111111111,3件金鸿盛,
2025-01-02 00:00:00,K06175,恒鑫,3000183005,HX5917,100251039,,,"190G/Y 佳积布54""浅棕035-75-06",130g/m2双面布,,,浅棕035-75-06,436,码,,荣翔/金宏盛,2/22,476.111111111111,T25020208,,,,,4件,2/22,436,,,,,,,,,40.1111111111111,,
