泉州阳硕鞋材有限公司,,,,,,,,,,,,打五联货单,,,,
送 货 单,,,,,,,,,,,,,,,,
收货单位：KSD,,,,,,,送货单号：,KSD260301,,,,,,,,
地    址：,,,,,,,送货日期：,2026-03-06 00:00:00,,,,,,,,
型体号,订单号,品名,颜色,数量,单位,支数,单价,小缸费,金额,备注,,,,,,
407625N,,BHK637三层网 280平方克,黑色,96,Y,2,,,,,KSD2601001,2026-01-09 00:00:00,60+36=96,,,
,,"K387单层网布 软 54""",黑色,500,Y,5,,,,,KSD2601002,2026-01-18 00:00:00,100*5=500,,,
,,"K387单层网布 软 54""",白色,300,Y,3,,,,,KSD2601002,2026-01-18 00:00:00,100*3=300,,,
401490L,,"180g 天鹅绒 54""",黑色,5,Y,1包,,,,印尼,KSD2601003,2026-01-24 00:00:00,,,,
402303N,,"K387单层网布 加硬  54""",黑色,917,Y,9,,,,印尼,KSD2601003,2026-01-24 00:00:00,100*6+120+98+99=917,,,
303726L,,"K387单层网布 加硬  54""",白色,899,Y,9,,,,印尼,KSD2601003,2026-01-24 00:00:00,100*6+99+102+98=899,,,
400151L,,470G DL1200 三明治网布,黑色,408,Y,7,,,,印尼,KSD2601004,2026-01-25 00:00:00,60*6+48=408Y,,,
,,"K387单层网布软 54""",白色,100,Y,1,,,,,KSD260201,2026-02-02 00:00:00,,,,
302696L,,"K387单层网布 加硬  54""",白色,784,码,8,,,,印尼,KSD260301,2026-03-06 00:00:00,,,,
,,7*100+84=784,,,,,,,,,KSD260301,2026-03-06 00:00:00,,,,
400200L,,"K387单层网布 加硬  54""",黑色,442,码,5,,,,印尼,KSD260301,2026-03-06 00:00:00,,,,
,,3*100+73+69=442,,,,,,,,,KSD260301,2026-03-06 00:00:00,,,,
407625N,,BHK637三层网 280平方克,黑色,51,Y,2,,,,印尼,KSD260301,2026-03-06 00:00:00,,,,
407625N,,BHK637三层网 280平方克,黑色,51,Y,,,,,印尼,KSD260301,2026-03-06 00:00:00,,,,
407625N,,BHK637三层网 280平方克,黑色,21,Y,,,,,印尼,KSD260301,2026-03-06 00:00:00,,,,
,,60+69=129(多6Y),,,,,,,,,KSD260301,2026-03-06 00:00:00,,,,
合        计,,,,1349,Y,15,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,,KSD260301,2026-03-06 00:00:00,,,,
收货单位签章：,,,,,,,,,送货单位签章：戴春莲,,,,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,,,,
