泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,,,
收货单位：健森（星鸿仟),,,,,,,送货单号：,JX2501002,,,,,,,
地    址：福州市台江区,,,,,,,送货日期：,2025-05-18 00:00:00,,,,,,,
订单号,指令,品名,数量,单位,支数,单价,小缸费,金额,备注,,,,,,
,,佳织布180平方克（139-18-00黑）,250,Y,3,,,,,JX2401201,2024-12-31 00:00:00,已付,,,
,,103+104+43=250,,,,,,,,JX2401201,2024-12-31 00:00:00,已付,,,
,,佳织布180平方克（109-98-01白）,140,Y,2,,,,,JX2401201,2024-12-31 00:00:00,已付,,,
,,102+38=140,,,,,,,,JX2401201,2024-12-31 00:00:00,已付,,,
,,佳织布180平方克黑色,135,Y,,7.4,300,1299,,JX2501001,2025-05-12 00:00:00,已付,,,
,,佳织布180平方克黑色,65,Y,,7.4,300,781,,JX2501001,2025-05-12 00:00:00,已付,,,
,,佳织布180平方克米色,135,Y,,7.4,300,1299,,JX2501001,2025-05-12 00:00:00,已付,,,
,,三明治330码克黑色,26,Y,,22.3,300,879.8,,JX2501001,2025-05-12 00:00:00,已付,,,
,,三明治330码克黑色,26,Y,,22.3,300,879.8,,JX2501001,2025-05-12 00:00:00,已付,,,
,,三明治330码克米色,26,Y,,22.3,300,879.8,,JX2501001,2025-05-12 00:00:00,已付,,,
,,三明治330码克米色,26,Y,,22.3,300,879.8,,JX2501001,2025-05-12 00:00:00,已付,,,
,,,,,,,,0,,,,,,,
,,佳织布180平方克米色,20,Y,,7.4,300,448,,JX2501002,2025-05-18 00:00:00,,,,
合        计,,,20,Y,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,JX2501002,2025-05-18 00:00:00,,,,
收货单位签章：,,,,,,,,送货单位签章：戴春莲,,,,,,,
