泉州阳硕鞋材有限公司,,,,,,,,,,,,
2025年5月份大货帐单,,,,,,,,,,,,
TO：,健森（星鸿仟),,,,,,,,,,,
ATTN：,,,,,,,,币别:人民币,,,,
日 期,送货单号,订单号,指令/型体,名称,颜色,数量,单位,支数,单价  (RMB),染费,金额(元),备注
2025-05-12 00:00:00,JX2501001,,,佳织布180平方克,黑色,135,Y,,7.4,300,1299,
2025-05-12 00:00:00,JX2501001,,,佳织布180平方克,黑色,65,Y,,7.4,300,781,
2025-05-12 00:00:00,JX2501001,,,佳织布180平方克,米色,135,Y,,7.4,300,1299,
2025-05-12 00:00:00,JX2501001,,,三明治330码克,黑色,26,Y,,22.3,300,879.8,
2025-05-12 00:00:00,JX2501001,,,三明治330码克,黑色,26,Y,,22.3,300,879.8,
2025-05-12 00:00:00,JX2501001,,,三明治330码克,米色,26,Y,,22.3,300,879.8,
2025-05-12 00:00:00,JX2501001,,,三明治330码克,米色,26,Y,,22.3,300,879.8,
,,,,以下空白,,,,,,,,
,,,,,,439,,,,,6898.2,
,,,,人民币大写：,陆仟捌佰玖拾捌元贰角整,,,,,,,
客户回签:,,,,,,,,,,,制　表：戴春莲,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,
