泉州阳硕鞋材有限公司,,,,,,,,,300码以下记得开小缸费,,,,,
送 货 单,,,,,,,,,,,,,,
收货单位：福建省莆田市协龙鞋业有限公司,,,,,NO.：,YF230701,,,,,,,,
地        址：福建省莆田市,,,,,,送货日期：,2023-07-03 00:00:00,,,,,,,
订单号,型体,名称及规格,数量,单位,支数,单价,金额,备注,,,,,,
CC23020304,AETREX/23/006-01/02,"黑色提花天鹅绒54""",6,Y,,,,,YF230301,2023-03-08 00:00:00,,,,
CC23020304,AETREX/23/006-03,"Grey1提花天鹅绒54""",5,Y,,,,,YF230301,2023-03-08 00:00:00,,,,
CC23020304,AETREX/23/006-04,"Dark Chambray提花天鹅绒54""",5,Y,,,,,YF230301,2023-03-08 00:00:00,,,,
CC23020304,AETREX/23/006-05,"18-4018TPX提花天鹅绒54""",5,Y,,,,,YF230301,2023-03-08 00:00:00,,,,
CC23020304,AETREX/23/006-06,"Strom Cloud提花天鹅绒54""",5,Y,,,,,YF230301,2023-03-08 00:00:00,,,,
CC23050005,爱鞋仕/SS/006,"黑色提花天鹅绒54""",5,Y,,,,,YF230501,2023-05-07 00:00:00,,,,
CC23050005,爱鞋仕/SS/006,"浅灰提花天鹅绒54""",5,Y,,,,,YF230501,2023-05-07 00:00:00,,,,
CC23050005,爱鞋仕/SS/006,"蓝色提花天鹅绒54""",5,Y,,,,,YF230501,2023-05-07 00:00:00,,,,
CC23050005,爱鞋仕/SS/006,"深灰提花天鹅绒54""",5,Y,,,,,YF230501,2023-05-07 00:00:00,,,,
FA23060220,"AFB0418-0008
通用","灰色提花天鹅绒54""",8,Y,,,,K03834,YF230701,2023-07-03 00:00:00,,,,
,,小缸费,1,个,,,,,YF230701,2023-07-03 00:00:00,,,,
合        计,,,20,Y,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,YF230701,2023-07-03 00:00:00,,,,
收货单位签章：,,,,,,,送货单位签章：戴春莲,,,,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,,
