泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,牛津布1000Y以下开染费,,,,230G YS148D单层弹力网54″
送 货 单,,,,,,,,,,,,,,,,,065耐汗和208耐汗黑白未达500Y都要开染费
收货单位：福建省莆田市双源鞋业有限公司,,,,,,NO.：,SHY2601029,,,,,,,,,,
地 址：福建省莆田市荔城区开发区内,,,,,,送货日期：,2026-01-31 00:00:00,,,,,,,,,,
订单号,型体,料号,品名及规格,颜色,数量,单位,支数,单价,金额,,,,,,,,
4510245520,5S002779,WS000589,"YS028三明治400 54""",白色,21,码,1,,,SHY2512009,2025-12-26 00:00:00,,,,,,
4510245630,5S002798\5S002799,WS001879,"YS028三明治400 54""",黑色,57,码,1,,,SHY2512009,2025-12-26 00:00:00,,,,,,
4510246506,5S002820\5S002821,WS001879,400G/Y YS028三明治网布54“,黑色,11,码,1,,,SHY2512011,2025-12-29 00:00:00,,,,,,
4510246506,5S002822,WS001879,400G/Y YS028三明治网布54“,黑色,45,码,,,,SHY2512011,2025-12-29 00:00:00,,,,,,
4510243116,5S002770,WS001352,"420G/Y  YS028三明治 54""",暗橄榄黄19-0516TPG,94,码,2,,,SHY2512012,2025-12-30 00:00:00,60+34=94,,,,,
,,,小缸费,暗橄榄黄19-0516TPG,1,个,,,,SHY2512012,2025-12-30 00:00:00,,,,,,
4510243116,5S002767,WS001354,"420G/Y  YS028三明治 54""",米色12-0104TPG,97,码,2,,,SHY2512012,2025-12-30 00:00:00,60+37=97,,,,,
,,,小缸费,米色12-0104TPG,1,个,,,,SHY2512012,2025-12-30 00:00:00,,,,,,
4510242836,6S001950,WD004649,丝光莱卡250G54“,黑色,89,码,1,,,SHY2512013,2025-12-30 00:00:00,,,,,,
4510242836,6S001948,WD004591,丝光莱卡250G54“,11-0601TPG白色,95,码,2,,,SHY2512013,2025-12-30 00:00:00,,,,,,
4510243424,6S001951,WD004591,丝光莱卡250G 54“,11-0601TPG白色,31,码,,,,SHY2512013,2025-12-30 00:00:00,70+56=126,,,,,
4510244450,,WD004367,635U YS2323猫舌布,马卡龙蓝,9,码,1,,,SHY2512014,2025-12-30 00:00:00,,,,,,
,,,小缸费,马卡龙蓝,1,个,,,,SHY2512014,2025-12-30 00:00:00,,,,,,
4510244895,4S005825,WK000351,"280G K208网布54""",白色(11-4001TPG),4,码,1,,,SHY2601001,2026-01-02 00:00:00,,,,,,
4510242836,6S001949,WD004647,丝光莱卡250G54“,11-0604米白,55,码,1,,,SHY2601002,2026-01-02 00:00:00,,,,,,
,,,小缸费,11-0604米白,1,个,,,,SHY2601002,2026-01-02 00:00:00,,,,,,
4510244895,4S005825,WK000351,"280G K208网布54""",白色(11-4001TPG),319,码,4,,,SHY2601003,2026-01-04 00:00:00,3*90+49=319,,,,,
4510245630,5S002802\5S002803,WS001875,"400G/YYS028三明治网布54""",深玫红18-2133TPG,57,码,1,,,SHY2601004,2026-01-04 00:00:00,,,,,,
,,,小缸费,深玫红18-2133TPG,1,个,,,,SHY2601004,2026-01-04 00:00:00,,,,,,
4510245630,5S002800\5S002801,WS001877,"400G/YYS028三明治网布54""",芍药蓝19-4029TPG,54,码,1,,,SHY2601004,2026-01-04 00:00:00,,,,,,
,,,小缸费,芍药蓝19-4029TPG,1,个,,,,SHY2601004,2026-01-04 00:00:00,,,,,,
4510245520,5S002784,WS001874,"400G/YYS028三明治网布54""",浅黄棕15-1217TPG,63,码,1,,,SHY2601004,2026-01-04 00:00:00,,,,,,
,,,小缸费,浅黄棕15-1217TPG,1,个,,,,SHY2601004,2026-01-04 00:00:00,,,,,,
4510245630,5S002804\5S002805\5S002807\5S002806,WS001873,"400G/YYS028三明治网布54""",浅紫15-3716TPG,116,码,2,,,SHY2601004,2026-01-04 00:00:00,60+56=116,,,,,
,,,小缸费,浅紫15-3716TPG,1,个,,,,SHY2601004,2026-01-04 00:00:00,,,,,,
4510243202,7S002939,WK000333,"230G/Y  K208网布54""",椒红18-1657TPG,25,码,1,,,SHY2601005,2026-01-04 00:00:00,退回重洗牢度,,,,,
,,,小缸费,椒红18-1657TPG,1,个,,,,SHY2601005,2026-01-04 00:00:00,退回重洗牢度,,,,,
4510246506,5S002820\5S002821,WS001879,400G/Y YS028三明治网布54“,黑色,90,码,4,,,SHY2601006,2026-01-06 00:00:00,,,,,,
4510246987,5S002831\5S002832,WS000590,400G/Y YS028三明治网布54“,黑色,143,码,,,,SHY2601006,2026-01-06 00:00:00,60*3+57=237,,,,,
4510245520,5S002780Z,WK000357,"230G K208网布56""",黑色,4,码,8,,,SHY2601007,2026-01-08 00:00:00,,,,,,
4510246506,5S002815,WK000357,"230G K208网布56""",黑色,210,码,,,,SHY2601007,2026-01-08 00:00:00,,,,,,
4510246506,5S002816\5S002817\5S002818\5S002819,WK000357,"230G K208网布56""",黑色,573,码,,,,SHY2601007,2026-01-08 00:00:00,99+80+96*2+100+98+110+108=787,,,,,
4510243202,7S002940,WK000334,"230G/Y  K208网布54""",繁星粉,19,码,1,,,SHY2601008,2026-01-08 00:00:00,,,,,,
,,,小缸费,繁星粉,1,个,,,,SHY2601008,2026-01-08 00:00:00,,,,,,
4510246506,5S002825,WS001937,400G/Y  YS028三明治网布54“,砾石棕14-0002TPG,52,码,1,,,SHY2601009,2026-01-08 00:00:00,,,,,,
4510246987,5S002827,WS001937,400G/Y  YS028三明治网布54“,砾石棕14-0002TPG,8,码,,,,SHY2601009,2026-01-08 00:00:00,,,,,,
,,,小缸费,砾石棕14-0002TPG,1,个,,,,SHY2601009,2026-01-08 00:00:00,,,,,,
4510247970,3S005375,WD001668,230G/Y K208网布耐汗54″,黑色,3,码,1,,,SHY2601010,2026-01-13 00:00:00,,,,,,
4510247970,3S004961BD,WD001667,230G/Y K208网布54″耐汗,白色,3,码,1,,,SHY2601010,2026-01-13 00:00:00,,,,,,
4510249440,3S005041BD,WD001667,230G/YK208网布54″耐汗,白色,6,码,,,,SHY2601010,2026-01-13 00:00:00,,,,,,
4510249440,7S002739BD,WK000317,(SS26)230G/Y  K208网布54″,亮白色11-0601TCX,8,码,1,,,SHY2601011,2026-01-13 00:00:00,,,,,,
4510245520,5S002785\5S002786,WS001878,YS028三明治网布54“,苍白紫红13-2803TPG,49,码,4,,,SHY2601012,2026-01-13 00:00:00,,,,,,
