泉州阳硕鞋材有限公司 2026年01月份请款明细,,,,,,,,,,,,,注意牛津布小缸费是600元/色,,,
采购订单号,送货单号,送货日期,指令号,物料编码,批物料描述,颜色,送货数量,单位,含税单价,染费,含税金额,,,,,
4510245520,SHY2512009,2025-12-26 00:00:00,5S002779,WS000589,"YS028三明治400 54""",白色,21,码,14.5,,304.5,,,,,
4510245630,SHY2512009,2025-12-26 00:00:00,5S002798\5S002799,WS001879,"YS028三明治400 54""",黑色,57,码,14.5,,826.5,,,,,
4510246506,SHY2512011,2025-12-29 00:00:00,5S002820\5S002821,WS001879,400G/Y YS028三明治网布54“,黑色,11,码,14.5,,159.5,,,,,
4510246506,SHY2512011,2025-12-29 00:00:00,5S002822,WS001879,400G/Y YS028三明治网布54“,黑色,45,码,14.5,,652.5,,,,,
4510243116,SHY2512012,2025-12-30 00:00:00,5S002770,WS001352,"420G/Y  YS028三明治 54""",暗橄榄黄19-0516TPG,94,码,14.5,300,1663,,,,,
4510243116,SHY2512012,2025-12-30 00:00:00,5S002767,WS001354,"420G/Y  YS028三明治 54""",米色12-0104TPG,97,码,14.5,300,1706.5,,,,,
4510242836,SHY2512013,2025-12-30 00:00:00,6S001950,WD004649,丝光莱卡250G54“,黑色,89,码,17,,1513,,,,,
4510242836,SHY2512013,2025-12-30 00:00:00,6S001948,WD004591,丝光莱卡250G54“,11-0601TPG白色,95,码,17,,1615,,,,,
4510243424,SHY2512013,2025-12-30 00:00:00,6S001951,WD004591,丝光莱卡250G 54“,11-0601TPG白色,31,码,17,,527,,,,,
4510244450,SHY2512014,2025-12-30 00:00:00,0,WD004367,635U YS2323猫舌布,马卡龙蓝,9,码,25.46,300,529.14,,,,,
4510244895,SHY2601001,2026-01-02 00:00:00,4S005825,WK000351,"280G K208网布54""",白色(11-4001TPG),4,码,8.5,,34,,,,,
4510242836,SHY2601002,2026-01-02 00:00:00,6S001949,WD004647,丝光莱卡250G54“,11-0604米白,55,码,17,300,1235,,,,,
4510244895,SHY2601003,2026-01-04 00:00:00,4S005825,WK000351,"280G K208网布54""",白色(11-4001TPG),319,码,8.5,,2711.5,,,,,
4510245630,SHY2601004,2026-01-04 00:00:00,5S002802\5S002803,WS001875,"400G/YYS028三明治网布54""",深玫红18-2133TPG,57,码,14.5,300,1126.5,,,,,
4510245630,SHY2601004,2026-01-04 00:00:00,5S002800\5S002801,WS001877,"400G/YYS028三明治网布54""",芍药蓝19-4029TPG,54,码,14.5,300,1083,,,,,
4510245520,SHY2601004,2026-01-04 00:00:00,5S002784,WS001874,"400G/YYS028三明治网布54""",浅黄棕15-1217TPG,63,码,14.5,300,1213.5,,,,,
4510245630,SHY2601004,2026-01-04 00:00:00,5S002804\5S002805\5S002807\5S002806,WS001873,"400G/YYS028三明治网布54""",浅紫15-3716TPG,116,码,14.5,300,1982,,,,,
4510243202,SHY2601005,2026-01-04 00:00:00,7S002939,WK000333,"230G/Y  K208网布54""",椒红18-1657TPG,25,码,5,300,425,,,,,
4510246506,SHY2601006,2026-01-06 00:00:00,5S002820\5S002821,WS001879,400G/Y YS028三明治网布54“,黑色,90,码,14.5,,1305,,,,,
4510246987,SHY2601006,2026-01-06 00:00:00,5S002831\5S002832,WS000590,400G/Y YS028三明治网布54“,黑色,143,码,14.5,,2073.5,,,,,
4510245520,SHY2601007,2026-01-08 00:00:00,5S002780Z,WK000357,"230G K208网布56""",黑色,4,码,5,,20,,,,,
4510246506,SHY2601007,2026-01-08 00:00:00,5S002815,WK000357,"230G K208网布56""",黑色,210,码,5,,1050,,,,,
4510246506,SHY2601007,2026-01-08 00:00:00,5S002816\5S002817\5S002818\5S002819,WK000357,"230G K208网布56""",黑色,573,码,5,,2865,,,,,
