泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市双联鞋业有限公司,,,,,,NO.：,SHL2505055,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区少林北街后埔村,,,,,,送货日期：,2025-05-23 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
,2L001204,WF005009,13116黑色飞织面5.5,黑色,80,双,,,,8件,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005011,13116黑色飞织面6.5,黑色,129,双,,,,,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005012,13116黑色飞织面7,黑色,222,双,,,,,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005014,13116黑色飞织面8,黑色,233,双,,,,,,,,,,,,,,,,
,2L001204,WF005015,13116黑色飞织面8.5,黑色,131,双,,,,,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005017,13116黑色飞织面9.5,黑色,81,双,,,,,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005143,13116黑色飞织舌面5.5,黑色,85,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005144,13116黑色飞织舌面6,黑色,55,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005145,13116黑色飞织舌面6.5,黑色,135,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005146,13116黑色飞织舌面7,黑色,230,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005147,13116黑色飞织舌面7.5,黑色,25,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005148,13116黑色飞织舌面8,黑色,240,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005149,13116黑色飞织舌面8.5,黑色,134,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
