泉州阳硕鞋材有限公司,,,,,,,,,,,,
2025年05月请款明细,,,,,,,,,,,,
TO：,福建省莆田市双联鞋业有限公司,,,,,,,,,,,
ATTN：,吴小姐,,CC：财务,,,,,币别:人民币,,,,
日 期,送货单号,指令号,料号,品   名,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注
2025-05-23 00:00:00,SHL2505052,2L001199,,13117飞织面,黑色,1550,双,,6.1,,9455,
2025-05-23 00:00:00,SHL2505052,2L001199,,13117飞织舌面,黑色,1550,双,,0.9,,1395,
2025-05-23 00:00:00,SHL2505052,2L001209,,13117飞织面,黑色,2842,双,,6.1,,17336.2,
2025-05-23 00:00:00,SHL2505052,2L001209,,13117飞织舌面,黑色,2842,双,,0.9,,2557.8,
2025-05-23 00:00:00,SHL2505052,2L001198,,13117 飞织面,暗蓝19-3929TPG,800,双,,6.1,,4880,
2025-05-23 00:00:00,SHL2505052,2L001198,,13117飞织舌面,暗蓝19-3929TPG,800,双,,0.9,,720,
2025-05-23 00:00:00,SHL2505052,2L001200,,13117飞织面,灰蓝18-4214TPG,800,双,,6.1,,4880,
2025-05-23 00:00:00,SHL2505052,2L001200,,13117飞织舌面,灰蓝18-4214TPG,800,双,,0.9,,720,
2025-05-23 00:00:00,SHL2505053,2L001201,,13117飞织面,冷灰COOL,800,双,,6.1,,4880,
2025-05-23 00:00:00,SHL2505053,2L001201,,13117飞织舌面,冷灰COOL,800,双,,0.9,,720,
2025-05-23 00:00:00,SHL2505053,2L001208,,13117飞织面,深橄榄色19-0516TPG,1400,双,,6.1,,8540,
2025-05-23 00:00:00,SHL2505053,2L001208,,13117飞织舌面,深橄榄色19-0516TPG,1400,双,,0.9,,1260,
2025-05-23 00:00:00,SHL2505053,2L001207,,13117飞织面,深海蓝19-4024TPX,2912,双,,6.1,,17763.2,
2025-05-23 00:00:00,SHL2505053,2L001207,,13117飞织舌面,深海蓝19-4024TPX,2912,双,,0.9,,2620.8,
2025-05-23 00:00:00,SHL2505054,2L001205,,13116飞织面,深兰19-4125TPG,1000,双,,6.1,,6100,
2025-05-23 00:00:00,SHL2505054,2L001205,,13116飞织舌面,深兰19-4125TPG,1000,双,,0.9,,900,
2025-05-23 00:00:00,SHL2505054,2L001214,,13116飞织面,14-3803TPG紫罗兰,350,双,,6.1,,2135,
2025-05-23 00:00:00,SHL2505054,2L001214,,13116飞织舌面,14-3803TPG紫罗兰,350,双,,0.9,,315,
2025-05-23 00:00:00,SHL2505054,2L001213,,13116飞织面,18-4034TPG蓝色,450,双,,6.1,,2745,
2025-05-23 00:00:00,SHL2505054,2L001213,,13116飞织舌面,18-4034TPG蓝色,450,双,,0.9,,405,
2025-05-23 00:00:00,SHL2505054,2L001206,,13116飞织面,蘑菇灰13-4201TPG,1000,双,,6.1,,6100,
2025-05-23 00:00:00,SHL2505054,2L001206,,13116飞织舌面,蘑菇灰13-4201TPG,1000,双,,0.9,,900,
2025-05-23 00:00:00,SHL2505055,2L001204,,13116飞织面,黑色,1000,双,,6.1,,6100,
2025-05-23 00:00:00,SHL2505055,2L001204,,13116飞织舌面,黑色,1000,双,,0.9,,900,
2025-05-23 00:00:00,SHL2505055,2L001210,,13116飞织面,黑色,2500,双,,6.1,,15250,
2025-05-23 00:00:00,SHL2505055,2L001210,,13116飞织舌面,黑色,2500,双,,0.9,,2250,
,,,,以下空白,,,,,,,,
,,,,合       计：,,34808,,,,,121828,
,,,,人民币大写：,壹拾贰万壹仟捌佰贰拾捌元整,,,,,,,
客户回签:,,,,审  核：,,,,,,,制　表：戴春莲,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,
