泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2025年02月份帐单,,,,,,,,,,,,,,
TO：,江西双驰,,,,,,,,,,,,,
ATTN：,李小姐,CC：,财务,,,,,,币别:人民币,,,,,
日 期,送货单号,客户单号,指令号,料号/型体,品   名,颜色,数量,单位,支数,单价  (RMB),金额(元),备注,,
2024-07-29 00:00:00,SC240724,4510135480,1J000308,WD002059,"250-270G大星点雾面纹网布 锦纶54""",橡芽白色,10,码,,13.5,135,,,
2024-07-29 00:00:00,SC240724,,,,小缸费,橡芽白色,1,个,,300,300,,,
2024-09-12 00:00:00,SC240904,4510138129,51124103289,WD002563,"丝光布54""",峡湾蓝色,11,码,,4,44,,,
2024-09-12 00:00:00,SC240904,,,,小缸费,峡湾蓝色,1,个,,200,200,,,
2024-09-16 00:00:00,SC240908,4510138129,51124103289,WD002563,"丝光布54""",峡湾蓝色,5,码,,4,20,,,
2024-10-08 00:00:00,SC241005,,1J000489,WD001420,"180G  BK网布54""",墨水蓝色,4,码,,3.9,15.6,,,
2024-10-08 00:00:00,SC241005,,1J000488,WD001431,"180G  BK网布54""",颜粉,2,码,,3.9,7.8,,,
2024-10-14 00:00:00,SC241007,4510146324,1J000553\1J000559,WD001963,"200G R609网布54""",净空蓝色,3,码,,10,30,,,
2024-10-15 00:00:00,SC241008,,1J000488,WD001415,"D553-03单层网54""",颜粉,6,码,,15,90,,,
2024-10-15 00:00:00,SC241008,,,,小缸费,颜粉,1,个,,200,200,,,
2024-10-24 00:00:00,SC241011,4510157222,1J000454,WD002146,"200-220G水晶超柔网布59""",正黑色,5,码,,13,65,,,
2024-11-01 00:00:00,SC241101,,,WD001739,"200G R609网布54""",荧光亮光绿,11,码,,10,110,,,
2024-11-10 00:00:00,SC241103,4510161224,1J000400,WD001736,"200G  R609网布54""",正黑色,3,码,,10,30,,,
2024-11-22 00:00:00,SC241106,4510163849,1J000395,WD002286,"240-260G蜂巢网眼布涤纶47""",尔克白色,2,码,,8,16,,,
2024-11-22 00:00:00,SC241106,,,,小缸费,尔克白色,1,个,,200,200,,,
2024-11-23 00:00:00,SC241107,4510164222,1J000343,WD002147,"200-220G 水晶超柔网布59""",深檀色,10,码,,13,130,,,
2024-11-23 00:00:00,SC241107,4510163972,1J000453,WD002147,"200-220G 水晶超柔网布59""",深檀色,1,码,,13,13,,,
2024-11-23 00:00:00,SC241107,4510163972,1J000455,WD002455,"200-220G水晶超柔网布59""",铁人灰色,1,码,,13,13,,,
2024-11-29 00:00:00,SC241112,4510165775,1J000442,WD002218,"200G R609网布透气防臭54""",蛋奶灰色,1,码,,10,10,,,
2024-12-02 00:00:00,SC241201,4510165775,1J000442,WD002218,"200G R609网布透气防臭54""",蛋奶灰色,1,码,,10,10,,,
,,,,,以下空白,,,,,,,,,
,,,,,合       计：,,80,,,,1639.4,,,
,,,,,人民币大写：,壹仟陆佰叁拾玖元肆角整,,,,,,,,
客户回签:,,,,,审  核：,,,,,,制　表：戴春莲,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,
