泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,,,,,,,,
收货单位:福州吉升科技有限公司,,,,,,,送货单号:,JS260101,,,,,,,,,,,,
地    址:福建省福州市连江县敖江镇201省道清水工业园南,,,,,,,送货日期:,2026-01-30 00:00:00,,,,,,,,,,,,
采购单号,采购批号,品名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,
UA07810M20251124001,U3N1025001,"YSH5160单层网300g 54""",4281C灰插黑丝,55,Y,1,,,,JS2512001,2025-12-05 00:00:00,,,,,,,,,
,,小缸费,4281C灰插黑丝,1,个,,,,,JS2512001,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251124001,U3N1025002,"YSH6160三明治网400g/Y*54""",01F7白,668,Y,11,,,60*9+64*2=668,JS2512001,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251124001,U3N1025003,"佳积布180g/Y/54""",4281C灰,159,Y,1,,,,JS2512001,2025-12-05 00:00:00,,,,,,,,,
,,小缸费,4281C灰,1,个,,,,,JS2512001,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251124001,U3N1025004,"佳积布180g/Y/54""",7433C紫粉,87,Y,1,,,,JS2512001,2025-12-05 00:00:00,,,,,,,,,
,,小缸费,7433C紫粉,1,个,,,,,JS2512001,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251124001,U3N1025005,"YSH5160 单层网300g 54""",7433C紫粉插黑丝,30,Y,1,,,,JS2512001,2025-12-05 00:00:00,,,,,,,,,
,,小缸费,7433C紫粉插黑丝,1,个,,,,,JS2512001,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251124001,U3N1025006,"佳积布180g/Y/54""",7472C浅绿色,122,Y,1,,,,JS2512002,2025-12-05 00:00:00,,,,,,,,,
,,小缸费,7472C浅绿色,1,个,,,,,JS2512002,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251124001,U3N1025007,"YSH5160 单层网300g 54""",白色插黑丝,68,Y,1,,,,JS2512002,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251124001,U3N1025008,"YSH5160 单层网300g 54""",黑色插黑丝,42,Y,1,,,,JS2512002,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251125001,U3N1025009,"YS24154 三明治网布54""",米黄,55,Y,1,,,,JS2512002,2025-12-05 00:00:00,,,,,,,,,
,,小缸费,米黄,1,个,,,,,JS2512002,2025-12-05 00:00:00,,,,,,,,,
UA07810M20251129001,U3N1025001,"YS24154 三明治网布54""",白色,63,Y,1,,,,JS2512002,2025-12-05 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113012,"283#牛津布 54""",蓝色3581 C,133,Y,2,,,80+53=133,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113013,"283#牛津布 54""",深灰色425C,132,Y,2,,,108+24=132,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113014,"283#牛津布 54""",Cool Gray 3 C冷灰,174,Y,2,,,114+60=174,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113015,"283#牛津布 54""",白色,135,Y,2,,,90+45=135,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113016,"YS24154三明治网布54""",蓝色3581 C,9,Y,1,,,,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113017,"YS24154 三明治网布54""",深灰色425C,24,Y,1,,,,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113018,"YS2239 44""",425C灰,175,Y,2,,,86+89=175,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113019,"YS2239 44""",Cool Gray 6 C冷灰,208,Y,2,,,108+100=208,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113020,"180G佳积布 54""",白色,246,Y,2,,,128+118=246,JS260101,2026-01-30 00:00:00,,,,,,,,,
UA07810M20260113001,U3N0113021,"180G佳积布 54""",黑色,206,Y,2,,,140+66=206,JS260101,2026-01-30 00:00:00,,,,,,,,,
合        计,,,,1442,Y,18,,,,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,JS260101,2026-01-30 00:00:00,,,,,,,,,
收货单位签章：,,,,,,,,送货单位签章：戴春莲,,,,,,,,,,,,
第一联：(白)         第二联：(红)         第三联：(蓝)         第四联：(绿)         第五联：(黄),,,,,,,,,,,,,,,,,,,,
