泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份帐单,,,,,,,,,,,,,,
收货单位：福州吉升科技有限公司,福州吉升科技有限公司,,,,,,,,,,,,,
ATTN：,林先生,,,,,,,币别:人民币,,,,,,
日 期,送货单号,采购单号,采购批号,品   名,颜色,数量,单位,单价  (RMB),小缸费,金额(元),备注,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113012,"283#牛津布 54""",蓝色3581 C,133,Y,25.5,600,3991.5,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113013,"283#牛津布 54""",深灰色425C,132,Y,25.5,600,3966,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113014,"283#牛津布 54""",Cool Gray 3 C冷灰,174,Y,25.5,600,5037,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113015,"283#牛津布 54""",白色,135,Y,25.5,,3442.5,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113016,"YS24154三明治网布54""",蓝色3581 C,9,Y,15.7,300,441.3,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113017,"YS24154 三明治网布54""",深灰色425C,24,Y,15.7,300,676.8,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113018,"YS2239 44""",425C灰,175,Y,7.2,300,1560,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113019,"YS2239 44""",Cool Gray 6 C冷灰,208,Y,7.2,300,1797.6,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113020,"180G佳积布 54""",白色,246,Y,4.5,,1107,,,,
2026-01-30 00:00:00,JS260101,UA07810M20260113001,U3N0113021,"180G佳积布 54""",黑色,206,Y,4.5,,927,,,,
,,,,以下空白,,,,,,,,,,
,,,,合       计：,,1442,,,,22946.7,,,,
,,,,人民币大写：,贰万贰仟玖佰肆拾陆元柒角整,,,,,,,,,
客户回签:,,,,审  核：,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,
