泉州阳硕鞋材有限公司,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,
收货单位：宁波顶峰户外服饰有限公司,,,,,,,,NO.：,DF2506001,,,,
地址：浙江省宁波市鄞州区金源路818号中创科技园1号楼601室,,,,,,,,送货日期：,2025-06-04 00:00:00,,,,
订单号,"指令
型体",品     名,,颜色,数量,单位,支数,单价,金额,备注,,,
,,超细金光绒,,白色,2.8,KG,1,,,寄顺丰,DF250101,2025-01-11 00:00:00,
,,超细金光绒,,黑色,42.6,KG,2,,,,DF2503001,2025-03-19 00:00:00,
,,小缸费,,,1,个,,,,,DF2503001,2025-03-19 00:00:00,
,,超细金光绒,,米白,3,KG,,,,,DF2503001,2025-03-19 00:00:00,
,,超细金光绒,,黑色,1,KG,,,,,DF2503001,2025-03-19 00:00:00,
,,超细金光绒,,苹果绿,1,KG,,,,,DF2503001,2025-03-19 00:00:00,
,,超细金光绒,,深绿,1,KG,,,,,DF2503001,2025-03-19 00:00:00,
G25B2024/GB25B2051,2400992/2401040/2401043/2401044/2400980/EBRYF/SEPERY黑色,超细金光绒,,白色,10.5,KG,1,,,寄顺丰,DF2504001,2025-04-02 00:00:00,
G25B2064/G25B2066/G25B2070,DAGGER/KYRAH/DREAMER/NAKOH/AFWFR06010/AFNFR06012/AFWFR06009/DROIDE黑色19-4006TCX,超细金光绒1.5*150g/㎡,,黑色,558,KG,24,,,,DF2504002,2025-04-18 00:00:00,
G25B2066,AFWFR06010/AFWFR06009  藏青19-3921TCX,超细金光绒1.5*150g/㎡,,黑色19-4006TCX,124.3,KG,6,,,,DF2504002,2025-04-18 00:00:00,
G25B2024,2401043   灰绿18-0312TCX,超细金光绒1.5*150g/㎡,,藏青19-3921TCX,21.2,KG,1,,,,DF2504002,2025-04-18 00:00:00,
,,小缸费,,藏青19-3921TCX,1,个,,,,,DF2504002,2025-04-18 00:00:00,
,,超细金光绒1.5*150g/㎡,,灰绿18-0312TCX,27.8,KG,1,,,,DF2504002,2025-04-18 00:00:00,
,,小缸费,,灰绿18-0312TCX,1,个,,,,,DF2504002,2025-04-18 00:00:00,
,,超细金光绒1.5*150g/㎡,,藏青19-3921TCX,4,KG,1,,,寄顺丰,DF2506001,2025-06-04 00:00:00,
合        计,,,,,4,KG,1,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,,DF2506001,2025-06-04 00:00:00,
收货单位签章：,,,,,,,,,送货单位签章：戴春莲,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,
