泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
ALCPO2521451,Z25081-248-12,"YES224 单层网布54""",粉色144-57-41,4,Y,1,,,,AH2512012,2025-12-04 00:00:00,,,,,,,,
ALCPO2522397,Z23041-114-18,"8安 帆布54""",浅灰色16-4703TPG,61,Y,1,,,,AH2512043,2025-12-25 00:00:00,,,,,,,,
,,小缸费,浅灰色16-4703TPG,1,个,,,,,AH2512043,2025-12-25 00:00:00,,,,,,,,
,Z23049-138-4,"YS360纹 350g大星点弹力网布 54""",可可棕18-1222TPG,3,Y,1,,,,AH2512043,2025-12-25 00:00:00,,,,,,,,
,Z25073-260,"250g 加密真美布54""",胜利蓝126-21-11,8,Y,1,,,,AH2512043,2025-12-25 00:00:00,,,,,,,,
ALCPO2524187,Z25064-390,"YSK133纹220g 单层网布 54""",蔚淡蓝12-4303TPG,318,Y,4,,,,AH2512043,2025-12-25 00:00:00,100*3+18=318,,,,,,,
ALCPO2524187,Z25064-389,"YSK133纹220g 单层网布 54""",象牙白11-4202TPG,369,Y,4,,,,AH2512043,2025-12-25 00:00:00,100*3+69=369,,,,,,,
ALCPO2524187,Z25064-392,"YSK133纹220g 单层网布 54""",发光绿12-0525TPG,310,Y,4,,,,AH2512044,2025-12-27 00:00:00,100*3+10=310,,,,,,,
ALCPO2522397,Z24065-456-4,"8安 帆布54""",水绿色13-6006TPG,40,Y,1,,,,AH2512044,2025-12-27 00:00:00,,,,,,,,
,,小缸费,水绿色13-6006TPG,1,个,,,,,AH2512044,2025-12-27 00:00:00,,,,,,,,
ALCPO2524187,Z25111-385,"YS-125纹310g 粗网 54""",透明黄11-0617TPG,20,Y,1,,,,AH2512044,2025-12-27 00:00:00,,,,,,,,
,,小缸费,透明黄11-0617TPG,1,个,,,,,AH2512044,2025-12-27 00:00:00,,,,,,,,
,Z25090-280,"K107 250g 单层网布 54""",禾山红13-1017TPG,2,Y,1包,,,,AH2512045,2025-12-29 00:00:00,,,,,,,,
,Z25034-114,"XF-3066纹 单层网布 54""",白帽灰12-0304TPG,2,Y,1包,,,,AH2512045,2025-12-29 00:00:00,,,,,,,,
ALCPO2523299,Z25107-372,"灯芯绒 54""",原始色11-0606TPG,37,Y,1,,,,AH2512045,2025-12-29 00:00:00,,,,,,,,
,,小缸费,原始色11-0606TPG,1,个,,,,,AH2512045,2025-12-29 00:00:00,,,,,,,,
,Z25072-208-8,"D027纹 250-260g 单层网布 54""",黑色139-18-00,403,Y,7,,,,AH2512046,2025-12-30 00:00:00,,,,,,,,
,Z25072-210-9,"D027纹 250-260g 单层网布 54""",黑色139-18-00,230,Y,,,,,AH2512046,2025-12-30 00:00:00,,,,,,,,
