泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
1,2025-11-13 00:00:00,AH2511047,,Z25970-1,DJ132/有光K184单层网布,"240g 54""",逃离灰039-65-02,全代,61,Y,6,,366,
2,2025-11-24 00:00:00,AH2511094,AHJPO2574939,Z26023-1,CL22114 三层网,"54""",白色109-98-01,全代,53,Y,12.6,,667.8,
3,2025-11-24 00:00:00,AH2511094,AHJPO2574939,Z26023-1open,CL22114 三层网,"54""",白色109-98-01,全代,3,Y,12.6,,37.8,
4,2025-11-29 00:00:00,AH25110102,AHJP02551633,Z25639-2美线,LY-YG1190网布,"54 """,白色109-98-01,全代,9,码,5.6,,50.4,
5,2025-12-23 00:00:00,AH25120030,AHJPO2579878,Z26073-1open,YS5908小圆孔 三明治网布,380*54'',橄榄绿044-36-10,全代,3,Y,12.5,,37.5,
6,2025-12-23 00:00:00,AH25120030,AHJPO2579878,Z26073-1,YS5908小圆孔 三明治网布,380*54'',橄榄绿044-36-10,全代,45,Y,12.5,,562.5,
7,2025-12-23 00:00:00,AH25120030,AHJPO2579878,Z26073-1,YS571 单层网布,"530*54""",橄榄绿044-36-10,全代,113,Y,16,,1808,
8,2025-12-23 00:00:00,AH25120030,AHJPO2579878,Z26073-1open,YS571 单层网布,"530*54""",橄榄绿044-36-10,全代,6,Y,16,,96,
9,2026-01-03 00:00:00,AH2601001,AHJPO2581051,Z25547-11,YSK2360纹双心三层网,"400g* 59""",白色109-98-01,全代,60,Y,16.5,,990,
10,2026-01-03 00:00:00,AH2601001,AHJPO2581051,Z25062-11,DJ132 单层网布,"240g 54""",白色,全代,2,Y,6,,12,
11,2026-01-03 00:00:00,AH2601001,AHJPO2581051,Z25924-6,DJ132 240g POLYPAG单层网布 耐黄,"240g 54""",白色109-98-01,全代,21,Y,6,,126,
12,2026-01-03 00:00:00,AH2601001,AHJPO2581051,Z25924-6open,DJ132 240g POLYPAG单层网布 耐黄,"240g 54""",白色109-98-01,全代,2,Y,6,,12,
13,2026-01-03 00:00:00,AH2601001,AHJPO2581051,Z25003-13open,XF8021纹 三明治网布,"350g/Y 54""",白色109-98-01,全代,6,Y,9.5,,57,
14,2026-01-03 00:00:00,AH2601001,AHJPO2581051,Z25003-13,XF8021纹 三明治网布,"350g/Y 54""",白色109-98-01,全代,102,Y,9.5,,969,
15,2026-01-03 00:00:00,AH2601001,AHJPO2581051,Z25003-14,XF8021纹 三明治网布,"350g/Y 54""",白色109-98-01,全代,143,Y,9.5,,1358.5,
16,2026-01-03 00:00:00,AH2601001,AHJPO2581051,Z25003-15,XF8021纹 三明治网布,"350g/Y 54""",白色109-98-01,全代,89,Y,9.5,,845.5,
17,2026-01-03 00:00:00,AH2601002,AHJPO2581051,Z25611-10,354纹 单层网 耐黄,"280-290g  54""",白色109-98-01,全代,64,Y,9,,576,
18,2026-01-03 00:00:00,AH2601002,AHJPO2581051,Z25611-11,354纹 单层网 耐黄,"280-290g  54""",白色109-98-01,全代,110,Y,9,,990,
19,2026-01-03 00:00:00,AH2601002,AHJPO2581105,ZY26085-1,354纹 单层网 耐黄,"280-290g  54""",白色109-98-01,全代,160,Y,9,,1440,
20,2026-01-03 00:00:00,AH2601002,AHJPO2581660,Z25611-9,354纹 单层网 耐黄,"280-290g  54""",白色109-98-01,全代,2,Y,9,,18,
21,2026-01-03 00:00:00,AH2601002,AHJPO2581660,Z25606-8,354纹 单层网 耐黄,"280-290g  54""",白色109-98-01,全代,50,Y,9,,450,
22,2026-01-04 00:00:00,AH2601003,AHJPO2581051,Z25569-7,YS571  单层网布,"530*54""",黑色139-18-00,全代,78,Y,16,,1248,
