泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,,,,,,,,,,,,,,,
收货单位：莆田市小月亮鞋业有限公司,,,,,,,,送货单号：,XYL260201,,,,,,,,,,,,,,,,,,
地    址：福建省莆田市涵江区国欢镇国欢西路滨海大道1889号4层,,,,,,,,送货日期：,2026-02-02 00:00:00,,,,,,,,,,,,,,,,,,
订单号,指令,品名,颜色,数量,单位,支数,单价,小缸费,金额,备注,,,,,,,,,,,,,,,,,
OT3796,ORTR品牌,3mm 尼龙补强带,白色,20,粒,,,,,,XYL251201,2025-12-02 00:00:00,,,,,,,,,,,,,,,
OT3796,ORTR品牌,3mm 尼龙补强带,黑色,10,粒,,,,,,XYL251201,2025-12-02 00:00:00,,,,,,,,,,,,,,,
,,5mm KFF泡棉*54“,,117.6,平方米,3,,,,,XYL251201,2025-12-02 00:00:00,,,,,,,,,,,,,,,
XYL2025002-2,OT3792,HSW32 P6纹单层网布54”,米白色,210,码,2,,,,108+102=210,XYL251202,2025-12-04 00:00:00,,,,,,,,,,,,,,,
,,小缸费,米白色,1,个,,,,,,XYL251202,2025-12-04 00:00:00,,,,,,,,,,,,,,,
XYL2025002-1,OT3792,10mm 珍珠棉,白色,150,码,4,,,,,XYL251202,2025-12-04 00:00:00,,,,,,,,,,,,,,,
XYL2025002-1/-2,OT3792,0.6MM超低温热熔胶,,100,码,2,,,,,XYL251203,2025-12-08 00:00:00,,,,,,,,,,,,,,,
XYL2025002-1/-2,OT3792,0.8MM超低温热熔胶,,100,码,2,,,,,XYL251203,2025-12-08 00:00:00,,,,,,,,,,,,,,,
"XYL2025002-1/-2
XYL2025003-1/-2",OT3792/667101,1.0MM N16双针中底拉邦布,白色,100,码,1,,,,,XYL251203,2025-12-08 00:00:00,,,,,,,,,,,,,,,
XYL2025002-1/-2,OT3792,"F22 1.0MM国产软丽新布上自粘54""",黑色,50,码,1,,,,,XYL251203,2025-12-08 00:00:00,,,,,,,,,,,,,,,
XYL2025002-1/-2,OT3792,"F22 1.0MM国产软丽新布上自粘54""",白色,50,码,1,,,,,XYL251203,2025-12-08 00:00:00,,,,,,,,,,,,,,,
XYL2025002-1,OT3792,10mm 珍珠棉,白色,50,码,,,,,12/4已发，补货单,XYL251204,2025-12-09 00:00:00,,,,,,,,,,,,,,,
XYL2025002-1/-2,OT3792,10MM厚珍珠棉,白色,100,Y,2,,,,,XYL251204,2025-12-09 00:00:00,,,,,,,,,,,,,,,
XYL2025003-1,667101,HSW32 P6纹单层网布54”,黑色,45,码,1,,,,,XYL251205,2025-12-18 00:00:00,,,,,,,,,,,,,,,
XYL2025003-2,667101,HSW32 P6纹单层网布54”,灰色,35,码,1,,,,,XYL251205,2025-12-18 00:00:00,,,,,,,,,,,,,,,
,,小缸费,灰色,1,个,,,,,,XYL251205,2025-12-18 00:00:00,,,,,,,,,,,,,,,
XYL2026001-1/-2,SM82003-1/-2,HSW32 P6纹单层网布,黑色,166,码,2,,,,120+46=166Y,XYL260101,2026-01-14 00:00:00,,,,,,,,,,,,,,,
XYL2026002-1/-3,SM82004-1/-3,HSW32 P6纹单层网布,白色(米白),190,码,2,,,,100+90=190Y,XYL260101,2026-01-14 00:00:00,,,,,,,,,,,,,,,
XYL2026002-3,SM82004-3,YS3313 360G/Y三明治网布,潔白,70,码,2,,,,60+10=70Y,XYL260101,2026-01-14 00:00:00,,,,,,,,,,,,,,,
XYL2026001-2,SM82003-2,YS-1951三明治网布,煙藍灰,74,码,1,,,,,XYL260102,2026-01-20 00:00:00,,,,,,,,,,,,,,,
XYL2026001-3,SM82003-3,YS-1951三明治网布,香雪球白,70,码,2,,,,55+15=70Y,XYL260102,2026-01-20 00:00:00,,,,,,,,,,,,,,,
XYL2026001-3,SM82003-3,HSW32 P6纹单层网布,靛青,100,码,1,,,,,XYL260102,2026-01-20 00:00:00,,,,,,,,,,,,,,,
XYL2026002-1,SM82004-1,YS3313 360G/Y三明治网布,雪白色,65,码,2,,,,55+10=65Y,XYL260102,2026-01-20 00:00:00,,,,,,,,,,,,,,,
"XYL2026001-1/-2/-3
XYL2026002-1/-2/-3","SM82003-1/-2/-3
SM82004-1/-2/-3",0.4MM低温热熔胶34.5-36°,本色,50,码,1,,,,,XYL260103,2026-01-23 00:00:00,,,,,,,,,,,,,,,
"XYL2026001-1/-2/-3
XYL2026002-1/-2/-3","SM82003-1/-2/-3
SM82004-1/-2/-3",1.2MM低温热熔胶34.5-36°,本色,40,码,1,,,,,XYL260103,2026-01-23 00:00:00,,,,,,,,,,,,,,,
XYL2026002-2,SM82004-2,YS3313 360G/Y三明治网布,印度藍,63,码,1,,,,,XYL260103,2026-01-23 00:00:00,,,,,,,,,,,,,,,
XYL2026002-2,SM82004-2,HSW32 P6纹单层网布,暗灰褐,90,码,1,,,,,XYL260103,2026-01-23 00:00:00,,,,,,,,,,,,,,,
