泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2026年01月份帐单,,,,,,,,,,,,,,,
TO：,莆田市小月亮鞋业有限公司,,,,,,,,,,,,,,
ATTN：,金梅,,CC：财务,,,,,币别:人民币,,,,,,,
日 期,送货单号,客户单号,指令,品   名,颜色,数量,单位,支数,单价  (RMB),染费,金额(元),备注,,,
2026-01-14 00:00:00,XYL260101,XYL2026001-1/-2,SM82003-1/-2,HSW32 P6纹单层网布,黑色,166,码,,6.32,,1049.12,,,,
2026-01-14 00:00:00,XYL260101,XYL2026002-1/-3,SM82004-1/-3,HSW32 P6纹单层网布,白色(米白),190,码,,6.32,300,1500.8,,,,
2026-01-14 00:00:00,XYL260101,XYL2026002-3,SM82004-3,YS3313 360G/Y三明治网布,潔白,70,码,,15.62,300,1393.4,,,,
2026-01-20 00:00:00,XYL260102,XYL2026001-2,SM82003-2,YS-1951三明治网布,煙藍灰,74,码,,17.3,300,1580.2,,,,
2026-01-20 00:00:00,XYL260102,XYL2026001-3,SM82003-3,YS-1951三明治网布,香雪球白,70,码,,17.3,300,1511,,,,
2026-01-20 00:00:00,XYL260102,XYL2026001-3,SM82003-3,HSW32 P6纹单层网布,靛青,100,码,,6.32,300,932,,,,
2026-01-20 00:00:00,XYL260102,XYL2026002-1,SM82004-1,YS3313 360G/Y三明治网布,雪白色,65,码,,15.62,300,1315.3,,,,
2026-01-23 00:00:00,XYL260103,"XYL2026001-1/-2/-3
XYL2026002-1/-2/-3","SM82003-1/-2/-3
SM82004-1/-2/-3",0.4MM低温热熔胶34.5-36°,本色,50,码,,5.3,,265,,,,
2026-01-23 00:00:00,XYL260103,"XYL2026001-1/-2/-3
XYL2026002-1/-2/-3","SM82003-1/-2/-3
SM82004-1/-2/-3",1.2MM低温热熔胶34.5-36°,本色,40,码,,15.3,,612,,,,
2026-01-23 00:00:00,XYL260103,XYL2026002-2,SM82004-2,YS3313 360G/Y三明治网布,印度藍,63,码,,15.62,300,1284.06,,,,
2026-01-23 00:00:00,XYL260103,XYL2026002-2,SM82004-2,HSW32 P6纹单层网布,暗灰褐,90,码,,6.8,300,912,,,,
2026-01-23 00:00:00,XYL260103,XYL2026001-1,SM82003-1,YS-1951三明治网布,黑色,55,码,,17.3,300,1251.5,,,,
2026-01-29 00:00:00,XYL260104,XYL2026001-1/-2,SM82003-1/-2,HSW32 P6纹单层网布,黑色,70,码,,6.32,,442.4,,,,
2026-02-02 00:00:00,XYL260201,XYL2026001-3,SM82003-3,HSW32 P6纹单层网布,靛青,55,码,,6.32,300,647.6,,,,
2026-02-02 00:00:00,XYL260201,XYL2026002-1/-3,SM82004-1/-3,HSW32 P6纹单层网布,白色(米白),105,码,,6.32,300,963.6,,,,
,,,,以下空白,,,,,,,,,,,
,,,,合       计：,,1263,,,,,15659.98,,,,
,,,,人民币大写：,壹万伍仟陆佰伍拾玖元玖角捌分,,,,,,,,,,
客户回签:,,,,审  核：,,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,,
