泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,开单和标签不要形体号，就订单号就行，,,
送 货 单,,,,,,,,,,,,,,,
收货单位：莆田市康硕鞋服有限公司,,,,,,NO.：,KS2603001,,,,,,,,
地址：福建省莆田市涵江区梧塘镇东社区大北庄333号,,,,,,,送货日期：,2026-03-04 00:00:00,,,,,,,
订单号,型体,名称及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,
K26033黑/34A/34B/34C/35/36,,"粗密实网布54"" YSN-0190",黑色,28,码,1,,,,KS2601001,2026-01-03 00:00:00,,,,
K26033黑/34A/34B/34C/35/36,,"D391漏孔单网花纹网布54""",黑色,32,码,1,,,,KS2601001,2026-01-03 00:00:00,,,,
K26030B黑,,"D34网布54""",黑色,752,码,8,,,,KS2601001,2026-01-03 00:00:00,7*97+73=752,,,
K26062,,D01网布220码克  54″,粉红,59,码,1,,,,KS2601002,2026-01-04 00:00:00,,,,
,,小缸费,粉红,1,个,,,,,KS2601002,2026-01-04 00:00:00,,,,
K26067/K26061/63/64,,"粗纹密实网布YSN-0190粗实网布54""",黑色,482,码,8,,,,KS2601003,2026-01-06 00:00:00,60*7+62=482,,,
K26056A/B/C/D黑碳灰同25298,,"D01网布54""220码克",深碳灰,2762,码,28,,,,KS2601004,2026-01-07 00:00:00,货拉拉送货100*10+98*4+48+126+91+101*2+96+105+110+90+85+120+99*3=2762,,,
K26030B黑,,"D34网布54""黑色",黑色,10,码,1,,,,KS2601005,2026-01-13 00:00:00,,,,
K26046单,,"四孔三明治450克  54""",深蓝灰,30,码,1,,,,KS2601006,2026-01-15 00:00:00,,,,
,,小缸费,深蓝灰,1,个,,,,,KS2601006,2026-01-15 00:00:00,,,,
K26078ABC,,"四孔三明治450克 54""",森绿色,218,Y,5,,,,KS2601007,2026-01-17 00:00:00,50*4+18=218,,,
,,小缸费,森绿色,1,个,,,,,KS2601007,2026-01-17 00:00:00,,,,
K26077ABC,,"四孔三明治450克 54""",黑色,264,Y,5,,,,KS2601007,2026-01-17 00:00:00,50*4+64=264,,,
K26079ABC,,"四孔三明治450克 54""",暗蓝色,240,Y,5,,,,KS2601007,2026-01-17 00:00:00,50*4+40=240,,,
,,小缸费,,1,个,,,,,KS2601007,2026-01-17 00:00:00,,,,
K26017黄色,,"摇粒绒 54""160平方克",黄色,1119,码,10,,赖总会送,,KS2601008,2026-01-17 00:00:00,111*7+114*3=1119,,,
K26076ABC,,"四孔三明治450克 54""",尘粉,240,Y,5,,,,KS2601009,2026-01-18 00:00:00,50*4+40=240,,,
,,小缸费,尘粉,1,个,,,,,KS2601009,2026-01-18 00:00:00,,,,
K26005,,"一分格牛津布防脱纱 54""",黑色,250,码,2,,,,KS2601010,2026-01-22 00:00:00,173+77=250,,,
K26074黑宝蓝,,"450g/Y  YSD439网布54""",黑色,32,Y,1,,,,KS2601010,2026-01-22 00:00:00,,,,
K26075黑灰,,"450g/Y  YSD439网布54""",黑色,28,Y,,,,,KS2601010,2026-01-22 00:00:00,,,,
K26071黑水红,,"YS22507/ 380g三明治网布*54""",黑色,130,Y,3,,,,KS2601011,2026-01-23 00:00:00,55*2+20=130,,,
K260006,,"YS12127三明治网布54"" 360-380码克",橄榄色,317,码,5,,,,KS2601011,2026-01-23 00:00:00,60*4+77=317,,,
