泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2026年02月份对帐单,,,,,,,,,,,,,,,
TO：,康硕,,,,,,,,,,,,,,
ATTN：,孙小姐,CC：财务,,,,,,币别:人民币,,,,,,,
日 期,送货单号,订单号,指令/型体,名称及规格,颜色,数量,单位,支数,单价  (RMB),染费,金额(元),备注,,,
2026-02-01 00:00:00,KS2602001,通用,,"D01网布 220码克54""",黑色,3000,Y,,5,,15000,,,,
2026-02-02 00:00:00,KS2602002,K26071黑水红,,"YS1208三明治490码克54""",桃红,158,Y,,18.5,300,3223,,,,
2026-02-03 00:00:00,KS2602003,K26029黑,,"小孔三明治网布54""YS1919",黑色,192,码,,18.5,300,3852,,,,
2026-02-04 00:00:00,KS2602004,K26007暗粉,,"D02网布暗粉54""",暗粉,115,码,,5.2,300,898,,,,
2026-02-02 00:00:00,KS260201,样品,,YS16560三层网，610g/y，54,黑色,4,码,,,,,,,,
,,,,以下空白,,,,,,,,,,,
,,,,合       计：,,3469,,,,,22973,,,,
,,,,人民币大写：,贰万贰仟玖佰柒拾叁元整,,,,,,,,,,
客户回签:,,,,审  核：,,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,,
