泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,6月起货发本厂,,,
送 货 单,,,,,,,,,,,,,,,,
收货单位：莆田市城厢区恒鑫鞋材有限公司,,,,,,NO.：,HX2601005,,,,,,,,,
地 址：福建省莆田市城厢区华林工业园区,,,,,,送货日期：,2026-02-02 00:00:00,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,
HXLEE-251215-6,L262UF223-2,粗条纹莱卡54,墨绿16-5815TPG,30,Y,1,,,,HX2601001,2026-01-03 00:00:00,,,,,
,实发36Y,小缸费,墨绿16-5815TPG,1,,,,,,HX2601001,2026-01-03 00:00:00,,,,,
,,K184尼龙布54英寸,军蓝,10,Y,,,,,HX2601002,2026-01-21 00:00:00,,,,,
,,"YS24154单色三明治网布54""",黑色,15,Y,1,,,,HX2601002,2026-01-21 00:00:00,,,,,
HX1190-001,100210917,K184尼龙布54英寸,黑色,150,码,2,,,,HX2601003,2026-01-21 00:00:00,,,,,
HX1190-031,100271446,K184尼龙布54英寸,黑色,32,码,,,,,HX2601003,2026-01-21 00:00:00,100+82=182,,,,
HX5915,100252735,"225G/Y莱卡 黑色 54""",黑色,400,码,3,,,,HX2601004,2026-01-26 00:00:00,140*2+120=400,,,,
HX5915,100252735,225G-ST-B580-01 1100%PES网纱,黑色,210,码,3,,,,HX2601004,2026-01-26 00:00:00,100*2+10=210,,,,
HX5914,100252736,"225G-ST-B580-01 1100%PES网纱54""",AE8E粉笔白,55,码,1,,,,HX2601004,2026-01-26 00:00:00,,,,,
,,小缸费,AE8E粉笔白,1,个,,,,,HX2601004,2026-01-26 00:00:00,,,,,
HX5914,100252736,"190G 佳积布 54""",AE8E粉笔白,300,码,2,,,,HX2601004,2026-01-26 00:00:00,163+137=300,,,,
HX5915,100252735,"190G 佳积布54""",黑色,1150,码,9,,,,HX2601005,2026-02-02 00:00:00,,,,,
,,132*4+130*2+133+131+98=1150,,,,,,,,,,,,,,
,,寄顺丰,,,,,,,,,,,,,,
合   计,,,,25,Y,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,HX2601005,2026-02-02 00:00:00,,,,,
收货单位签章：,,,,,,,送货单位签章：戴春莲,,,,,,,,,
第一联：存根(白)       第二联：客户(红)       第三联：请款(蓝)        第四联：仓库(黄),,,,,,,,,,,,,,,,
300码以下记得开小缸费,,,,,,,,,,,,,,,,
