泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2026年01月份请款明细,,,,,,,,,,,,,,,
TO：,恒鑫,,,,,,,,,,,,,,
ATTN：,,,,,,,,币别:人民币,,,,,,,
日 期,送货单号,订单号,型体,品名及规格,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注,,,
2026-01-03 00:00:00,HX2601001,HXLEE-251215-6,L262UF223-2,粗条纹莱卡54,墨绿16-5815TPG,30,Y,,12.5,300,675,,,,
2026-01-21 00:00:00,HX2601002,,,K184尼龙布54英寸,军蓝,10,Y,,7,,70,,,,
2026-01-21 00:00:00,HX2601002,,,"YS24154单色三明治网布54""",黑色,15,Y,,17.5,,262.5,,,,
2026-01-21 00:00:00,HX2601003,HX1190-001,100210917,K184尼龙布54英寸,黑色,150,码,,7,,1050,,,,
2026-01-21 00:00:00,HX2601003,HX1190-031,100271446,K184尼龙布54英寸,黑色,32,码,,7,,224,,,,
2026-01-26 00:00:00,HX2601004,HX5915,100252735,"225G/Y莱卡 黑色 54""",黑色,400,码,,12.5,,5000,,,,
2026-01-26 00:00:00,HX2601004,HX5915,100252735,225G-ST-B580-01 1100%PES网纱,黑色,210,码,,15,,3150,,,,
2026-01-26 00:00:00,HX2601004,HX5914,100252736,"225G-ST-B580-01 1100%PES网纱54""",AE8E粉笔白,55,码,,15,300,1125,,,,
2026-01-26 00:00:00,HX2601004,HX5914,100252736,"190G 佳积布 54""",AE8E粉笔白,300,码,,4.3,,1290,,,,
,,,,以下空白,,,,,,,,,,,
,,,合       计：,,,1202,,,,,12846.5,,,,
,,,人民币大写：,壹万贰仟捌佰肆拾陆元伍角整,,,,,,,,,,,
客户回签:,,,,审  核：,,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,,
