泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2024年05月份帐单,,,,,,,,,,,,,,,
TO：,莆田易发鞋业有限公司,,,,,,,,,,,,,,
ATTN：林先生,,,,,,,,币别:人民币,,,,,,,
日 期,送货单号,订单号,指令/型体,名称,颜色,数量,单位,支数,单价  (RMB),染费,金额(元),备注,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,檸檬(13-0752 TPG),3,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,雪松綠(18-0328 TPG),3,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,清静灰(14-4107TPG),5,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,灰白(12-0304 TPG),3,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,黑玉色(19-0303 TPG),5,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,泰藍西亞紫(19-3638 TPG),3,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,原古白(11-0606 TPG),3,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,勉強粉(12-2906 TPG),3,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,白鶯色(11-0103 TPG),5,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,水晶粉(12-1605 TPG),3,Y,,,,0,,,,
2024-04-08 00:00:00,YF-Y240401,0,,YS-218 内里网布,晚禮服(19-4024 TPG),2,Y,,,,0,,,,
2024-04-09 00:00:00,YF-Y240402,0,,YS-218 内里网布,明亮白(11-0601 TPG),3,Y,,,,0,,,,
2024-04-09 00:00:00,YF-Y240402,0,,小米通布 200g,晚禮服(19-4024 TPG),1,Y,,,,0,,,,
2024-04-10 00:00:00,YF-Y240403,0,,小米通布 200g,白色+ 分化笑脸图案参考彩图,1,Y,,,,0,,,,
2024-04-10 00:00:00,YF-Y240403,0,,小米通布 200g,白色+分化图片,1,Y,,,,0,,,,
2024-04-30 00:00:00,YF-Y240404,SS25,,"环保涤纶网布 54""",白色,10,Y,,,,0,,,,
2024-05-10 00:00:00,YF-Y240405,SS25,,"环保涤纶网布 54""",白色,5,Y,,,,0,,,,
2024-05-10 00:00:00,YF-Y240405,SS25,,Ys-k086单层网,月岩色14-4201TCX,3,Y,,,,0,,,,
2024-05-10 00:00:00,YF-Y240405,SS25,,Ys-k086 单层网,白色,1,Y,,,,0,,,,
2024-05-13 00:00:00,YF-Y240406,SS24,,丝光布,霜灰(12-6207 TPG),1,Y,,,,0,,,,
2024-05-14 00:00:00,YF-Y240407,0,,YS-1583三层网,七彩,1,Y,,,,0,,,,
2024-05-14 00:00:00,YF-Y240407,0,,YS-1583三层网,黑色,1,Y,,,,0,,,,
2024-05-08 00:00:00,YF240501,YF24033-34,,"环保涤纶网布54""",咖啡色,100,Y,,7.5,300,1050,,,,
,,,,以下空白,,,,,,,,,,,
,,,,合       计：,,100,,,,,1050,,,,
,,,,人民币大写：,壹仟零伍拾元整,,,,,,,,,,
客户回签:,,,,审  核：,,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,,
