泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费，丝光布白度每次问下要哪个白,,,,,,,,,,,,丝光
送  货  单,,,,,,,,,,,,,,,,,,,,,,,
收货单位：莆田市星联鞋业有限公司,,,,,,,NO.：,XC2603010,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区西天尾镇南少林路777号,,,,,,,送货日期：,2026-03-07 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,,
,9X23127m,WB16634,"180g白色佳积布54""",白色,96,Y,,,,,XC221015,2022-10-16 00:00:00,扣9/7发货的2629码库存,,,,,,,,,,
4510016490,,WB11679,"250G 黑色佳积布54""",黑色,204,Y,,,,,XC221202,2022-12-05 00:00:00,,,,,,,,,,,
4510022337,1100019493,WB17130,"180G K209网布59""",炫目蓝色,22,Y,,,,,XC221225,2022-12-29 00:00:00,,,,,,,,,,,
,,,小缸费,炫目蓝色,1,个,,,,,XC221225,2022-12-29 00:00:00,,,,,,,,,,,
4510022337,1100019493,WB17128,"180G K209网布59""",白柠檬色,7,Y,,,,,XC221225,2022-12-29 00:00:00,,,,,,,,,,,
,,,小缸费,白柠檬色,1,个,,,,,XC221225,2022-12-29 00:00:00,,,,,,,,,,,
4510051506,2X000594,WD000107,"XF8001氨纶布54""360G",白色,33,Y,,,,,XC230613,2023-06-10 00:00:00,,,,,,,,,,,
,,WB10689,"180G黑色佳积布54""",黑色,350,Y,3,,,,XC230618,2023-06-15 00:00:00,138+119+93,小赖群里通知发的,,,,,,,,,
,,WB5788,"低弹平布54""",白色,12,Y,,,,,XC230622,2023-06-17 00:00:00,,,,,,,,,,,
4510049608,2X000568,WD000577,"HF-WV07504 TPEE-TPU-P绞综网布56""340G",白色,34,Y,,,,,XC230623,2023-06-17 00:00:00,,,,,,,,,,,
,"2X000652,653,654,655",WB14822,"130G丝光布54""",白色,9,Y,,,,,XC230836,2023-08-25 00:00:00,,,,,,,,,,,
4510066533,2X000927M,WS000415,"390G YS7001三层网54""",暴力灰14-4103TPG,10,Y,,,,,XC231009,2023-10-08 00:00:00,,,,,,,,,,,
4510086324,,WD000498,"180G K209网布54""",驼色,9,Y,,,,,XC231117,2023-11-20 00:00:00,,,,,,,,,,,
4510085749,2X001142,WB13224,"380G K666单层网54""",白色,111,Y,3,,,60+32+37,XC231117,2023-11-20 00:00:00,实发129Y，11月入库18Y，欠111Y未入库,,,,,,,,,,
,,WD001865,300G 白色天鹅绒,白色,42,码,2,,,,XC240429,2024-04-23 00:00:00,100+59=159,实发159Y，2024/04月入库117Y，欠42Y未入库,,,,,,,,,
,,,300g提花天鹅绒,白色,33,码,,,,,XC240436,2024-04-26 00:00:00,126+100*3+85+13=524,,,,,,,,,,
,,,180g天鹅绒,白色,92,码,2,,,,XC240438,2024-04-26 00:00:00,120+15=135,,,,,,,,,,
4510121388,2X001793,WB6769,"300g提花天鹅绒54""",白色,104,码,1,,,,XC240518,2024-05-17 00:00:00,,,,,,,,,,,
4510128713,2X001896,WB12436,"380G XF8021三明治网布54""",黄色,11,码,1,,,,XC2400720,2024-07-18 00:00:00,,,,,,,,,,,
,2X001897,WB12333,"380G XF8021三明治网布54""",白色,12,码,,,,,XC2400723,2024-07-22 00:00:00,,,,,,,,,,,
,2X001897,WB12333,"380G XF8021三明治网布54""",白色,2,码,1包,,,,XC2400730,2024-07-29 00:00:00,,,,,,,,,,,
,,WB6769,"300G 提花天鹅绒54""",白色,20,码,1,,,,XC2400836,2024-08-22 00:00:00,,,,,,,,,,,
,,WB11680,"250G 白色佳积布54""",白色,7,码,1包,,,,XC2400843,2024-08-28 00:00:00,,,,,,,,,,,
4510142468,1100130792,WD001797,"180GK209网布54""",粉红15-1512TPG,5,码,1包,,,,XC2400903,2024-09-03 00:00:00,,,,,,,,,,,
,,,小缸费,粉红15-1512TPG,1,个,,,,,XC2400903,2024-09-03 00:00:00,,,,,,,,,,,
4510150893,2X002220,WB7447,"180G天鹅绒54""",白色,26,码,1,,,,XC2401006,2024-10-07 00:00:00,,,,,,,,,,,
4510158985,2X002014,WD002502,"180G K209网布55""",FAGGIO山褐色,26,码,1,,,,XC2401028,2024-10-30 00:00:00,,,,,,,,,,,
4510156172,2X002270,WJ000026,"180G佳积布58""",黑色,57,码,1,,,,XC2401030,2024-10-30 00:00:00,,,,,,,,,,,
,,WD000904,"180G  K209网布55""",白色,27,码,1,,,,XC2401104,2024-11-05 00:00:00,,,,,,,,,,,
,,WD000902,"180G  K209网布55""",灰褐色14-4501TPG,25,码,1,,,,XC2401104,2024-11-05 00:00:00,,,,,,,,,,,
,,WD002510,"180G  K209网布55""",红木色18-1436TPG,8,码,1包,,,,XC2401104,2024-11-05 00:00:00,,,,,,,,,,,
,,WD002506,"180G  K209网布55""",暖橙色13-1030TPG,12,码,1,,,,XC2401104,2024-11-05 00:00:00,,,,,,,,,,,
,,WD002498,"180G  K209网布55""",鹅卵色14-1112TPG,5,码,1包,,,,XC2401104,2024-11-05 00:00:00,,,,,,,,,,,
,,WD002483,"230GK209网布57""",白色,3,码,1包,,,,XC2401104,2024-11-05 00:00:00,,,,,,,,,,,
,,WD002493,"180G  K209网布55""",草绿色18-0622TPG,5,码,1包,,,,XC2401104,2024-11-05 00:00:00,,,,,,,,,,,
4510157194,2X002279,WB12252,"10安帆布54""",棕色,121,码,1,,,,XC2401108,2024-11-09 00:00:00,,,,,,,,,,,
4510157194,2X002279,WB12252,"10安帆布54""",棕色,21,码,2,,,,XC2401110,2024-11-10 00:00:00,,,,,,,,,,,
,,WD000554,"210G单层网布54""",卡其色,4,码,1包,,,,XC2401118,2024-11-13 00:00:00,,,,,,,,,,,
,,WD001134,"230GK208网布54""",本白色,5,码,1包,,,,XC2401118,2024-11-13 00:00:00,,,,,,,,,,,
,,WD001135,180G丝光布,白色,7,码,1包,,,,XC2401119,2024-11-15 00:00:00,,,,,,,,,,,
,,WD000554,"210G单层网布54""",卡其色,4,码,1包,,,,XC2401121,2024-11-15 00:00:00,,,,,,,,,,,
4510162472,1X001280BD,WD002822,"丝光布54""",碳灰色,9,码,1,,,,XC2401123,2024-11-19 00:00:00,,,,,,,,,,,
,,,小缸费,碳灰色,1,个,,,,,XC2401123,2024-11-19 00:00:00,,,,,,,,,,,
4510162397,2X002399,WB4617,"230G POLYPAG PII网布54""",标准白,10,码,,,,,XC2401129,2024-11-25 00:00:00,100+93=193,交154Y，10月入144Y，欠10Y,,,,,,,,,
4510162397,2X002385,WB7447,"180G天鹅绒54""",白色,39,码,,,,,XC2401204,2024-12-10 00:00:00,120*3+128=488,,,,,,,,,,
4510170602,2X002567M,WJ000026,"180G佳积布58""",黑色,23,码,1,,,,XC2401215,2024-12-20 00:00:00,,,,,,,,,,,
4510171200,2X002597M,WB16877,"8安帆布54""",棕色,5,码,1包,,,,XC2401219,2024-12-26 00:00:00,,,,,,,,,,,
,,WD000237,"180G K209网布54""",冠军蓝,5,码,1包,,,,XC2401221,2024-12-30 00:00:00,,,,,,,,,,,
,,WB4822,"130G 丝光布54""",白色,35,码,1,,,,XC2501007,2025-01-07 00:00:00,"实际发了74Y，2025/1月已入库13Y，3月已入库26,欠35",,,,,,,,,,
4510167616,1X001358M,WD003203,"180G K209网布54""",沙色13-0907TPG,11,码,1,,,,XC2501008,2025-01-07 00:00:00,,,,,,,,,,,
,,WB4822,"130G 丝光布54""",白色,141,码,1,,,,XC2501009,2025-01-09 00:00:00,,,,,,,,,,,
,,WD003293,"220G 亚光四面弹54""",蕾丝白色,2,码,1包,,,,XC2501011,2025-01-11 00:00:00,,,,,,,,,,,
,,WD002886,"220G 亚光四面弹54""",黑色,5,码,1包,,,,XC2501011,2025-01-11 00:00:00,,,,,,,,,,,
,,WB4822,"130G 丝光布54""",白色,60,码,1,,,,XC250201,2025-02-09 00:00:00,,,,,,,,,,,
,,WD000237,"180G K209网布54""",冠军蓝,5,码,,,,,XC250201,2025-02-09 00:00:00,,,,,,,,,,,
4510177958,2X002536BD,WD002738,"350G K418格子布55""",黑色,5,码,,,,,XC250202,2025-02-11 00:00:00,,,,,,,,,,,
,1X001373,H2003281,300G提花天鹅绒54”,天青蓝,3,码,1包,,,,XC250212,2025-02-22 00:00:00,,,,,,,,,,,
