泉州阳硕鞋材有限公司,,,,,,,,,,,,,LGO订单K209/莱卡布/佳积布单价不一样,
2026年01月份大货帐单,,,,,,,,,,,,,,
TO：,莆田市星联鞋业有限公司,,,,,,,,,,,,,
ATTN：,侯先生,CC：,财务,,,,,,币别:人民币,,,,,
日 期,送货单号,客户单号,指令号,料号,品   名,颜色,数量,单位,支数,单价  (RMB),金额(元),备注,,
2022-10-16 00:00:00,XC221015,,9X23127m,WB16634,"180g白色佳积布54""",白色,96,Y,,3.9,374.4,,,
2022-12-05 00:00:00,XC221202,4510016490,,WB11679,"250G 黑色佳积布54""",黑色,204,Y,,4.8,979.2,,,
2022-12-29 00:00:00,XC221225,4510022337,1100019493,WB17130,"180G K209网布59""",炫目蓝色,22,Y,,5.9,129.8,,,
2022-12-29 00:00:00,XC221225,,,,小缸费,炫目蓝色,1,个,,200,200,,,
2022-12-29 00:00:00,XC221225,4510022337,1100019493,WB17128,"180G K209网布59""",白柠檬色,7,Y,,5.9,41.3,,,
2022-12-29 00:00:00,XC221225,,,,小缸费,白柠檬色,1,个,,200,200,,,
2023-06-10 00:00:00,XC230613,4510051506,2X000594,WD000107,"XF8001氨纶布54""360G",白色,33,Y,,15,495,,,
2023-06-15 00:00:00,XC230618,,,WB10689,"180G黑色佳积布54""",黑色,350,Y,,3.9,1365,,,
2023-06-17 00:00:00,XC230622,,,WB5788,"低弹平布54""",白色,12,Y,,5.6,67.2,,,
2023-06-17 00:00:00,XC230623,4510049608,2X000568,WD000577,"HF-WV07504 TPEE-TPU-P绞综网布56""340G",白色,34,Y,,48.5,1649,,,
2023-08-25 00:00:00,XC230836,,"2X000652,653,654,655",WB14822,"130G丝光布54""",白色,9,Y,,4,36,,,
2023-10-08 00:00:00,XC231009,4510066533,2X000927M,WS000415,"390G YS7001三层网54""",暴力灰14-4103TPG,10,Y,,21,210,,,
2023-11-20 00:00:00,XC231117,4510086324,,WD000498,"180G K209网布54""",驼色,9,Y,,5.9,53.1,,,
2023-11-20 00:00:00,XC231117,4510085749,2X001142,WB13224,"380G K666单层网54""",白色,111,Y,,11,1221,,实发129Y，11月入库18Y，欠111Y未入库,
2024-04-23 00:00:00,XC240429,,,WD001865,300G 白色天鹅绒,白色,42,码,,9.5,399,,,
2024-04-26 00:00:00,XC240436,,,,300g提花天鹅绒,白色,33,码,,10,330,,,
2024-04-26 00:00:00,XC240438,,,,180g天鹅绒,白色,92,码,,5,460,,8月入43Y，欠92Y,
2024-05-17 00:00:00,XC240518,4510121388,2X001793,WB6769,"300g提花天鹅绒54""",白色,104,码,,10,1040,,,
2024-07-18 00:00:00,XC2400720,4510128713,2X001896,WB12436,"380G XF8021三明治网布54""",黄色,11,码,,14.5,159.5,,,
2024-07-22 00:00:00,XC2400723,,2X001897,WB12333,"380G XF8021三明治网布54""",白色,12,码,,14.5,174,,,
2024-07-29 00:00:00,XC2400730,,2X001897,WB12333,"380G XF8021三明治网布54""",白色,2,码,,14.5,29,,,
2024-08-22 00:00:00,XC2400836,,,WB6769,"300G 提花天鹅绒54""",白色,20,码,,10,200,,,
2024-08-28 00:00:00,XC2400843,,,WB11680,"250G 白色佳积布54""",白色,7,码,,4.8,33.6,,9月已入库3Y少入7Y,
2024-09-03 00:00:00,XC2400903,4510142468,1100130792,WD001797,"180GK209网布54""",粉红15-1512TPG,5,码,,5.9,29.5,,,
2024-09-03 00:00:00,XC2400903,,,,小缸费,粉红15-1512TPG,1,个,,200,200,,,
2024-10-07 00:00:00,XC2401006,4510150893,2X002220,WB7447,"180G天鹅绒54""",白色,26,码,,5,130,,交81Y，10月入55Y，欠26Y,
2024-10-30 00:00:00,XC2401028,4510158985,2X002014,WD002502,"180G K209网布55""",FAGGIO山褐色,26,码,,5.9,153.4,,,
2024-10-30 00:00:00,XC2401030,4510156172,2X002270,WJ000026,"180G佳积布58""",黑色,57,码,,3.9,222.3,,,
2024-11-05 00:00:00,XC2401104,,,WD000904,"180G  K209网布55""",白色,27,码,,5.9,159.3,,,
2024-11-05 00:00:00,XC2401104,,,WD000902,"180G  K209网布55""",灰褐色14-4501TPG,25,码,,5.9,147.5,,,
2024-11-05 00:00:00,XC2401104,,,WD002510,"180G  K209网布55""",红木色18-1436TPG,8,码,,5.9,47.2,,,
2024-11-05 00:00:00,XC2401104,,,WD002506,"180G  K209网布55""",暖橙色13-1030TPG,12,码,,5.9,70.8,,,
2024-11-05 00:00:00,XC2401104,,,WD002498,"180G  K209网布55""",鹅卵色14-1112TPG,5,码,,5.9,29.5,,,
2024-11-05 00:00:00,XC2401104,,,WD002483,"230GK209网布57""",白色,3,码,,7.6,22.8,,,
2024-11-05 00:00:00,XC2401104,,,WD002493,"180G  K209网布55""",草绿色18-0622TPG,5,码,,5.9,29.5,,,
2024-11-09 00:00:00,XC2401108,4510157194,2X002279,WB12252,"10安帆布54""",棕色,121,码,,5.8,701.8,,,
2024-11-10 00:00:00,XC2401110,4510157194,2X002279,WB12252,"10安帆布54""",棕色,21,码,,5.8,121.8,,,
2024-11-13 00:00:00,XC2401118,,,WD000554,"210G单层网布54""",卡其色,4,码,,5.25,21,,,
2024-11-13 00:00:00,XC2401118,,,WD001134,"230GK208网布54""",本白色,5,码,,4.5,22.5,,,
2024-11-15 00:00:00,XC2401119,,,WD001135,180G丝光布,白色,7,码,,5.5,38.5,,,
2024-11-15 00:00:00,XC2401121,,,WD000554,"210G单层网布54""",卡其色,4,码,,5.25,21,,,
2024-11-19 00:00:00,XC2401123,4510162472,1X001280BD,WD002822,"丝光布54""",碳灰色,9,码,,5.5,49.5,,,
2024-11-19 00:00:00,XC2401123,,,,小缸费,碳灰色,1,个,,200,200,,,
2024-11-25 00:00:00,XC2401129,4510162397,2X002399,WB4617,"230G POLYPAG PII网布54""",标准白,10,码,,7.3,73,,交154Y，10月入144Y，欠10Y,
2024-12-10 00:00:00,XC2401204,4510162397,2X002385,WB7447,"180G天鹅绒54""",白色,39,码,,5,195,,,
2024-12-20 00:00:00,XC2401215,4510170602,2X002567M,WJ000026,"180G佳积布58""",黑色,23,码,,3.9,89.7,,,
2024-12-26 00:00:00,XC2401219,4510171200,2X002597M,WB16877,"8安帆布54""",棕色,5,码,,5.4,27,,,
2024-12-30 00:00:00,XC2401221,,,WD000237,"180G K209网布54""",冠军蓝,5,码,,5.9,29.5,,,
2025-01-07 00:00:00,XC2501007,,,WB4822,"130G 丝光布54""",白色,35,码,,4,140,,"实际发了74Y，2025/1月已入库13Y，3月已入库26,欠35",
2025-01-07 00:00:00,XC2501008,4510167616,1X001358M,WD003203,"180G K209网布54""",沙色13-0907TPG,11,码,,5.9,64.9,,,
2025-01-09 00:00:00,XC2501009,,,WB4822,"130G 丝光布54""",白色,141,码,,4,564,,,
2025-01-11 00:00:00,XC2501011,,,WD003293,"220G 亚光四面弹54""",蕾丝白色,2,码,,14.5,29,,,
2025-01-11 00:00:00,XC2501011,,,WD002886,"220G 亚光四面弹54""",黑色,5,码,,14.5,72.5,,,
2025-02-09 00:00:00,XC250201,,,WB4822,"130G 丝光布54""",白色,60,码,,4,240,,,
2025-02-09 00:00:00,XC250201,,,WD000237,"180G K209网布54""",冠军蓝,5,码,,5.9,29.5,,,
2025-02-11 00:00:00,XC250202,4510177958,2X002536BD,WD002738,"350G K418格子布55""",黑色,5,码,,13,65,,,
2025-02-22 00:00:00,XC250212,,1X001373,H2003281,300G提花天鹅绒54”,天青蓝,3,码,,10,30,,,
2025-02-22 00:00:00,XC250212,,1X001374,H2003283,300G提花天鹅绒54”,风仙紫,8,码,,10,80,,,
2025-03-11 00:00:00,XC250312,,,WS001365,"300G YS2975三层网54""",佳宝蓝色,60,码,,11.5,690,,,
2025-04-03 00:00:00,XC2504003,,,WJ000300,"150G佳积布54""",黑色,60,码,,3.6,216,,,
2025-04-03 00:00:00,XC2504004,4510186910,,WB4822,"130G 丝光布54""",白色,26,码,,4,104,,,
2025-04-03 00:00:00,XC2504004,,,WS001301,"360-380G 空气层54""",白色,47,码,,12,564,,,
2025-04-05 00:00:00,XC2504005,,,WB12252,"棕色10安帆布54""",棕色,43,Y,,5.8,249.4,,,
2025-04-06 00:00:00,XC2504006,,,WJ000444,"140G佳积布58""",白色,162,Y,,3.6,583.2,,,
2025-04-07 00:00:00,XC2504007,,,WD003530,"180G K209网布54""",城堡灰18-0201TPG,5,码,,5.9,29.5,,,
