泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,,,,
收货单位：来克,,,,,,,送货单号：,JX2504003,,,,,,,,
地    址：莆田市荔城西天尾镇荔涵大道旁,,,,,,,送货日期：,2025-04-30 00:00:00,,,,,,,,
订单号,指令,品名,颜色,数量,单位,支数,单价,小缸费,金额,备注,,,,,,
CHT2502069-04,24215-4男,"黑色 FMD-F2-066网布54""",黑色,14,码,1,,,,,JX2504001,2025-04-02 00:00:00,退货,,,
CHT2502068-04,24215-4男,"黑色 FMD-F2-066网布54""",黑色,62,码,,,,,,JX2504001,2025-04-02 00:00:00,,,,
CHT2502067-02,24215-4男,"黑色 FMD-F2-066网布54""",黑色,16,码,,,,,,JX2504001,2025-04-02 00:00:00,,,,
CHT2502066-03,24215-4男,"黑色 FMD-F2-066网布54""",黑色,17,码,,,,,,JX2504001,2025-04-02 00:00:00,,,,
CHT2502064-03,24215-4男,"黑色 FMD-F2-066网布54""",黑色,54,码,,,,,,JX2504001,2025-04-02 00:00:00,,,,
CHT2502069-04,24215-4男,"黑色 FMD-F2-066网布54""",黑色,14,码,1,,,,,JX2504002,2025-04-19 00:00:00,,,,
CHT2502068-04,24215-4男,"黑色 FMD-F2-066网布54""",黑色,62,码,,,,,,JX2504002,2025-04-19 00:00:00,,,,
CHT2502067-02,24215-4男,"黑色 FMD-F2-066网布54""",黑色,16,码,,,,,,JX2504002,2025-04-19 00:00:00,,,,
CHT2502066-03,24215-4男,"黑色 FMD-F2-066网布54""",黑色,17,码,,,,,,JX2504002,2025-04-19 00:00:00,,,,
CHT2502064-03,24215-4男,"黑色 FMD-F2-066网布54""",黑色,54,码,,,,,,JX2504002,2025-04-19 00:00:00,,,,
,,"黑色 FMD-F2-066网布54""",黑色,20,码,1,,,,,JX2504003,2025-04-30 00:00:00,,,,
合        计,,,,20,Y,1,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,,JX2504003,2025-04-30 00:00:00,,,,
收货单位签章：,,,,,,,,,送货单位签章：戴春莲,,,,,,,
