泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2025年04月份大货帐单,,,,,,,,,,,,,,,
TO：,莆田市来克体育用品有限公司,,,,,,,,,,,,,,
ATTN：,,,,,,,,币别:人民币,,,,,,,
日 期,送货单号,订单号,指令/型体,名称,颜色,数量,单位,支数,单价  (RMB),染费,金额(元),备注,,,
2025-04-19 00:00:00,JX2504002,CHT2502069-04,24215-4男,"黑色 FMD-F2-066网布54""",黑色,14,码,,19,,266,,,,
2025-04-19 00:00:00,JX2504002,CHT2502068-04,24215-4男,"黑色 FMD-F2-066网布54""",黑色,62,码,,19,,1178,,,,
2025-04-19 00:00:00,JX2504002,CHT2502067-02,24215-4男,"黑色 FMD-F2-066网布54""",黑色,16,码,,19,,304,,,,
2025-04-19 00:00:00,JX2504002,CHT2502066-03,24215-4男,"黑色 FMD-F2-066网布54""",黑色,17,码,,19,,323,,,,
2025-04-19 00:00:00,JX2504002,CHT2502064-03,24215-4男,"黑色 FMD-F2-066网布54""",黑色,54,码,,19,,1026,,,,
2025-04-30 00:00:00,JX2504003,0,0,"黑色 FMD-F2-066网布54""",黑色,20,码,,19,,380,,,,
,,,,合       计：,,183,,,,,3477,,,,
,,,,人民币大写：,叁仟肆佰柒拾柒元整,,,,,,,,,,
客户回签:,,,,审  核：,,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,,
