泉州阳硕2026年02月份应收货款汇总表,,,,,,,,,,
序号,业务,客户,应收金额,币别,到期  日期,是否含税,收款  日期,收款金额,备　注,
1,赖'R,联成,386.88,RMB,,是,,,,
2,,明康,430,RMB,,是,,,,
3,,安健,428912.85,RMB,,是,,,,
4,,安恒,782780.100000001,RMB,,是,,,,
,,越南安恒,60284.15,RMB,,是,,,,
5,,星昌大货,154519.8,RMB,,是,,,,
6,,星昌样品,,RMB,,是,,,,
7,,双驰,1639.4,RMB,,是,,,,
,,双联,,RMB,,是,,,,
,,星成,,RMB,,是,,,,
8,,恒鑫,12846.5,RMB,,是,,,,
,,盈兴,3518.8,RMB,,是,,,,
9,,双源,58279.52,RMB,,是,,,,
10,,福联,#REF!,RMB,,是,,,,
,,亿宁,3183.4,RMB,,是,,,,
,,康硕,22973,RMB,,是,,,,
,,福盛和,8438.3,RMB,,是,,,,
11,,KSD,29015.2,RMB,,是,,,,
12,,福恩娃,4798.5,RMB,,是,,,,
13,,,,,,,,,,
小  计,,,#REF!,,,,,,,
1,尹'R,顶峰,23902.8,RMB,,是,,,,
小  计,,,23902.8,,,,,,,
合　计,,,#REF!,,,,,0,,
审核：,,,,,复核：,,,,制表：戴春莲,
