泉州阳硕鞋材有限公司,,,,,,,,,300码以下记得开小缸费,,,,,
送 货 单,,,,,,,,,,,,,,
收货单位：福建泓捷鞋业有限公司,,,,,,NO.：,HJ2406001,,,,,,,
地址：莆田市荔城区黄石镇工业园区谷城东路1699号,,,,,,送货日期：,2024-06-06 00:00:00,,,,,,,
订单号,款号,名称及规格,数量,单位,支数,单价,金额,备注,,,,,,
,4T2 Sundays,白色莱卡布250g,57,Y,1,11.5,655.5,,HJ231001,2023-10-26 00:00:00,,,,
,"4T2 get lost
4T2 weekdays",黑色莱卡布250g,57,Y,1,11.5,655.5,,HJ231001,2023-10-26 00:00:00,,,,
,4T2 Sundays,白色240gDJ132网布,9,Y,1,7,63,,HJ231001,2023-10-26 00:00:00,,,,
,,黑色240gDJ132网布,130,Y,1,7,910,,HJ231101,2023-11-05 00:00:00,,,,
,,卡其色丝光布,155,Y,1,4,620,,HJ231201,2023-12-06 00:00:00,,,,
,,小缸费,1,个,,,300,,HJ231201,2023-12-06 00:00:00,,,,
,,黑色莱卡布250g,60,Y,1,11.5,690,,HJ2404004,2024-04-06 00:00:00,,,,
,,黑色240gDJ132网布,40,Y,1,7,280,,HJ2404004,2024-04-06 00:00:00,,先寄4/5快件到付,,
,,浅灰240gDJ132网布,135,Y,1,7,945,,HJ2404004,2024-04-06 00:00:00,,,,
,,小缸费,1,个,,,300,,HJ2404004,2024-04-06 00:00:00,,,,
,,黑色莱卡布250g,65,Y,1,11.5,747.5,,HJ2406001,2024-06-06 00:00:00,,,,
,,黑色240gDJ132网布,130,Y,1,7,910,,HJ2406001,2024-06-06 00:00:00,,,,
合        计,,,195,Y,2,,1657.5,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,HJ2406001,2024-06-06 00:00:00,,,,
收货单位签章：,,,,,,,送货单位签章：戴春莲,,,,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,,
