泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,,,
送 货 单,,,,,,,,,,,,,,,
收货单位：特步,,,,,,NO.：,TBDH2503002,,,,,,,,
地        址：晋江市,,,,,,,送货日期：,2025-03-22 00:00:00,,,,,,,
订单号,货号,名   称,颜色,数量,单位,支数,单价,金额,备注,,,,,,
XXXCQ25415802,MS4325205-01,"180g 天鹅绒 54""-",晨蓝13-4303TPG,4,码,1,,,送辉丽,TBDH2503001,2025-03-19 00:00:00,,,,
XXXCQ25415802,MS4325205-01,"180g 天鹅绒 54""-",晨蓝13-4303TPG,3.6,码,,,,送辉丽,TBDH2503001,2025-03-19 00:00:00,,,,
,,小缸费,晨蓝13-4303TPG,1,个,,,,,TBDH2503001,2025-03-19 00:00:00,,,,
XXXCQ25415804,MS4325205-03,"180g 天鹅绒 54""-",黑色,7,码,1,,,送辉丽,TBDH2503001,2025-03-19 00:00:00,,,,
XXXCQ25415803,MS4325205-02,"180g 天鹅绒 54""",杏仁白12-4301TPG,2.9,码,,,,,TBDH2503002,2025-03-22 00:00:00,,,,
,,小缸费,杏仁白12-4301TPG,1,个,,,,,TBDH2503002,2025-03-22 00:00:00,,,,
合        计,,,,2.9,#REF!,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,TBDH2503002,2025-03-22 00:00:00,,,,
收货单位签章：,,,,,,,,送货单位签章：戴春莲,,,,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,,,
XXXCQ25415803,MS4325205-02,"180g 天鹅绒 54""-",杏仁白12-4301TPG,2.9,码,,,,,,,,,,
