泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,,,,,,,,,,,,,,
收货单位：现金客户,,,,,,,送货单号：,XJ25012006,,,,,,,,,,,,,,,,,,
地    址：,,,,,,,送货日期：,2025-12-19 00:00:00,,,,,,,,,,,,,,,,,,
订单号,指令,品名,数量,单位,支数,单价,小缸费,金额,备注,,,,,,,,,,,,,,,,,
晋江贴合厂,,黑色毛巾布*1.5米,149,Y,2,6,,894,89+60,XJ221185,2022-11-16 00:00:00,晋江贴合厂,,,,,,,,,,,,,,
晋江贴合厂,,浅灰毛巾布*1.5米,205,Y,5,6,300,1530,45+42+46+25+47,XJ221185,2022-11-16 00:00:00,晋江贴合厂,,,,,,,,,,,,,,
晋江贴合厂,,黑色毛巾布*1.5米,20,Y,,6,,120,,XJ221202,2022-12-07 00:00:00,晋江贴合厂,,,,,,,,,,,,,,
晋江贴合厂,,浅灰毛巾布*1.5米,16,Y,,6,,96,,XJ221202,2022-12-07 00:00:00,晋江贴合厂,,,,,,,,,,,,,,
晋江贴合厂,,浅灰毛巾布*1.5米,20,Y,,6,,120,,XJ221202,2022-12-07 00:00:00,晋江贴合厂,,,,,,,,,,,,,,
莆田贴合厂,,亮白CY NS1811网布,30,Y,,8,,240,,XJ221203,2022-12-08 00:00:00,莆田贴合厂,,,,,,,,,,,,,,
莆田贴合厂,,浅紫CY NS1811网布,30,Y,,8,260,500,,XJ221203,2022-12-08 00:00:00,莆田贴合厂,,,,,,,,,,,,,,
鼎兴蓝总,,组织布,94.8,KG,4,15.5,,1469.4,,XJ2212125,2022-11-30 00:00:00,鼎兴蓝总,,,,,,,,,,,,,,
,,低弹平布白色,20,Y,,6,,120,,XJ230201,2023-02-18 00:00:00,,,,,,,,,,,,,,,
陈小雄,,提花天鹅绒白色,6.9,KG,1,20,,138,,XJ230202,2023-02-26 00:00:00,陈小雄,,,,,,,,,,,,,,
尹总朋友,,低弹平布黑色上防霉抗菌,80,Y,1,8.5,,680,,XJ230301,2023-03-01 00:00:00,尹总朋友,,,,,,,,,,,,,,
同华,,"K209 180g*54""暗红",1,色,,,150,150,,XJ230501,2023-05-03 00:00:00,同华,5,,,,,,,,,,,,,
同华,,"K209 180g*54""月色",1,色,,,150,150,,XJ230501,2023-05-03 00:00:00,同华,5,,,,,,,,,,,,,
