泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费,,
送 货 单,,,,,,,,,,,,
收货单位：祥隆星(福建)进出口贸易有限公司,,,,,,NO.：,XLX260101,,,,,
地址：福州市马尾区亭江镇亭江路99号福州 (马尾)万洋众创城A07#楼5层01定制厂房A区,,,,,,送货日期：,2026-01-21 00:00:00,,,,,
采购单号,指令,型体,物料编号,刀模,材料名称,颜色,数量,单位,支数,送货单号,送货日期,
PA250922016,Y260003,100276691,C0501181,FL-SS25011U-8,"DJ132 POLYPAG单层网布240g 54""",139-18-00黑,65.1,码,2,XLX251001,2025-10-10 00:00:00,
PA250922016,Y260003(预补),100276691,C0501181,FL-SS25011U-8,"DJ132 POLYPAG单层网布240g 54""",139-18-00黑,0.4,码,,XLX251001,2025-10-10 00:00:00,
PA250922016,Y260002,100276693,C0501181,FL-SS25011U-8,"DJ132 POLYPAG单层网布240g 54""",139-18-00黑,65.1,码,,XLX251001,2025-10-10 00:00:00,
PA250922016,Y260002(预补),100276693,C0501181,FL-SS25011U-8,"DJ132 POLYPAG单层网布240g 54""",139-18-00黑,0.4,码,,XLX251001,2025-10-10 00:00:00,
PA250922016,Y260001,100276696,C0501181,FL-SS25011U-8,"DJ132 POLYPAG单层网布240g 54""",139-18-00黑,65.1,码,,XLX251001,2025-10-10 00:00:00,
PA250922016,Y260001(预补),100276696,C0501181,FL-SS25011U-8,"DJ132 POLYPAG单层网布240g 54""",139-18-00黑,0.4,码,,XLX251001,2025-10-10 00:00:00,
LOSS,,,C0501181,FL-SS25011U-8,"DJ132 POLYPAG单层网布240g 54""",139-18-00黑,2.5,码,,XLX251001,2025-10-10 00:00:00,100+99=199
PA251004022,Y260008,100209145-VN,C0500239,FL23045U,"JFC503 单层网布 / 54""",01F7白色,81.9,码,2,XLX251002,2025-10-10 00:00:00,
PA251004022,Y260008(预补),100209145-VN,C0500239,FL23045U,"JFC503 单层网布 / 54""",01F7白色,0.9,码,,XLX251002,2025-10-10 00:00:00,
PA251004022,Y260015,100209145-VN,C0500239,FL23045U,"JFC503 单层网布 / 54""",01F7白色,121.5,码,,XLX251002,2025-10-10 00:00:00,
PA251004022,Y260015(预补),100209145-VN,C0500239,FL23045U,"JFC503 单层网布 / 54""",01F7白色,1,码,,XLX251002,2025-10-10 00:00:00,
PA251004022,Y260021,100209145-VN,C0500239,FL23045U,"JFC503 单层网布 / 54""",01F7白色,59.5,码,,XLX251002,2025-10-10 00:00:00,
PA251004022,Y260021(预补),100209145-VN,C0500239,FL23045U,"JFC503 单层网布 / 54""",01F7白色,1.5,码,,XLX251002,2025-10-10 00:00:00,
LOSS,,,C0500239,FL23045U,"JFC503 单层网布 / 54""",01F7白色,2.7,码,,XLX251002,2025-10-10 00:00:00,120+149=269
PA251004022,Y260009,100209144-VN,C0500241,FL23045U,"JFC503 单层网布 / 54""",139-18-00黑色,69.3,码,7,XLX251003,2025-10-10 00:00:00,
PA251004022,Y260009(预补),100209144-VN,C0500241,FL23045U,"JFC503 单层网布 / 54""",139-18-00黑色,1.5,码,,XLX251003,2025-10-10 00:00:00,
PA251004022,Y260010,100209144-VN,C0500241,FL23045U,"JFC503 单层网布 / 54""",139-18-00黑色,194.7,码,,XLX251003,2025-10-10 00:00:00,
PA251004022,Y260010(预补),100209144-VN,C0500241,FL23045U,"JFC503 单层网布 / 54""",139-18-00黑色,1.2,码,,XLX251003,2025-10-10 00:00:00,
PA251004022,Y260016,100209144-VN,C0500241,FL23045U,"JFC503 单层网布 / 54""",139-18-00黑色,75.6,码,,XLX251003,2025-10-10 00:00:00,
PA251004022,Y260016(预补),100209144-VN,C0500241,FL23045U,"JFC503 单层网布 / 54""",139-18-00黑色,1.5,码,,XLX251003,2025-10-10 00:00:00,
PA251004022,Y260022,100209144-VN,C0500241,FL23045U,"JFC503 单层网布 / 54""",139-18-00黑色,57.5,码,,XLX251003,2025-10-10 00:00:00,
PA251004022,Y260022(预补),100209144-VN,C0500241,FL23045U,"JFC503 单层网布 / 54""",139-18-00黑色,0.8,码,,XLX251003,2025-10-10 00:00:00,
