泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,,发鑫速达到付，福清余洋收13600807188，放一张货单,,,,,,
送 货 单,,,,,,,,,,,,,,,,,,,,
收货单位：福盛和,,,,,,NO.：,FSH2601002,,,,,,,,,,,,,
地址：,,,,,,,送货日期：,2026-01-31 00:00:00,,,,,,,,,,,,
订单号,"指令
型体",名称及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,
,,150g佳织布,本白,610,Y,,,,,FSH2512002,2026-01-14 00:00:00,,,,,,,,,
26026A,12255906,D01网布,炭黑19-4007TPX,243,码,2,,,,FSH2601001,2026-01-27 00:00:00,140+103=243,,,,,,,,
26026B,12255906,D01网布,亮白11-0601TPX,243,码,2,,,,FSH2601001,2026-01-27 00:00:00,155+88=243,,,,,,,,
26026A,12255906,三明治网布,炭黑19-4007TPX,79,码,2,,,,FSH2601001,2026-01-27 00:00:00,60+26=86(多7Y),,,,,,,,
26026B,12255906,三明治网布,亮白11-0601TPX,79,码,2,,,,FSH2601001,2026-01-27 00:00:00,60+22=82（多3Y),,,,,,,,
25101,,"YS607山东绸   56""",粉色,86,码,1,,,,FSH2601002,2026-01-31 00:00:00,,,,,,,,,
,,小缸费,粉色,1,个,,,,,FSH2601002,2026-01-31 00:00:00,,,,,,,,,
25101,,"180G 佳质布 54""",粉色,330,码,3,,,,FSH2601002,2026-01-31 00:00:00,160+140+30=330,,,,,,,,
合        计,,,,416,Y,4,,,,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,FSH2601002,2026-01-31 00:00:00,,发鑫速达,,,,,,,
收货单位签章：,,,,,,,,送货单位签章：戴春莲,,,,,,,,,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,,,,,,,,
