泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费,,,
送 货 单,,,,,,,,,,,,,,
收货单位：安迪星（福建）体育用品有限责任公司,,,,,,NO.：,FLDH260202,,,,,,,
地址：福州市马尾区亭江镇万洋众创城A07栋,,,,,,送货日期：,2026-02-03 00:00:00,,,,,,,
采购单号,指令,型体,物料编号,刀模,材料名称,颜色,数量,单位,支数,,送货单号,送货日期,物流信息,
PA251106005,,100211314,C0100243,FL-SS25052,"LG-K08462A01 三明治网 / 54""",109-98-01白,246.2,码,4,,FLDH251112,2025-11-24 00:00:00,,
PA251106005,,100211314,C0100243(预补),FL-SS25052,"LG-K08462A01 三明治网 / 54""",109-98-01白,1.8,码,,,FLDH251112,2025-11-24 00:00:00,,
LOSS,,,C0100243,FL-SS25052,"LG-K08462A01 三明治网 / 54""",109-98-01白,2,码,,LOSS,FLDH251112,2025-11-24 00:00:00,60*3+70=250,
PA251120023,V253226,100275869,C0500937,FL-SS25003U,"DJ132单层网240g 54""",109-98-01白色,33.9,码,3,0,FLDH251113,2025-11-24 00:00:00,,
PA251120023,V253226,100275869,C0500937,FL-SS25003U,"DJ132单层网240g 54""",109-98-01白色,0.1,码,,预补数,FLDH251113,2025-11-24 00:00:00,,
PA251120023,V253238,100274314,C0501825,SS26129W,"DJ132单层网240g 54""",109-98-01白,42.4,码,,0,FLDH251113,2025-11-24 00:00:00,,
PA251120023,V253238,100274314,C0501825,SS26129W,"DJ132单层网240g 54""",109-98-01白,0.4,码,,预补数,FLDH251113,2025-11-24 00:00:00,,
PA251120023,V253239,100274316,C0501825,SS26129W,"DJ132单层网240g 54""",109-98-01白,97.6,码,,0,FLDH251113,2025-11-24 00:00:00,,
PA251120023,V253239,100274316,C0501825,SS26129W,"DJ132单层网240g 54""",109-98-01白,0.6,码,,,FLDH251113,2025-11-24 00:00:00,,
PA251120023,V253240,100274315,C0501825,SS26129W,"DJ132单层网240g 54""",109-98-01白,108.4,码,,0,FLDH251113,2025-11-24 00:00:00,,
PA251120023,V253240,100274315,C0501825,SS26129W,"DJ132单层网240g 54""",109-98-01白,0.6,码,,预补数,FLDH251113,2025-11-24 00:00:00,100*2+84=284,
PA251120023,V253241,100274313,C0501181,SS26129W,"DJ132单层网240g 54""",139-18-00黑,42.2,码,3,0,FLDH251114,2025-11-24 00:00:00,,
