泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2026年01月份请款明细,,,,,,,,,,,,,,,
TO：,安迪星（福建）体育用品有限责任公司,,,,,,,,,,,,,,
ATTN：高小姐,,,,,,,,,,,币别:人民币,,,,
日 期,送货单号,订单号,指令,型体,物料编号,刀模,品名及规格,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注
2025-12-25 00:00:00,FLDH251212,PA251225002,V253224,100278437,C0501825,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",109-98-01白,79.6,码,,7,,557.2,
2025-12-25 00:00:00,FLDH251212,PA251225002,V253233,100278437,C0501825,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",109-98-01白,13.6,码,,7,,95.2,
2025-12-25 00:00:00,FLDH251212,PA251225002,V253225,100278442,C0502651,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",047-82-01灰,79.6,码,,7,,557.2,
2025-12-25 00:00:00,FLDH251212,PA251225002,V253234,100278442,C0502651,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",047-82-01灰,10.4,码,,7,,72.8,
2026-01-12 00:00:00,FLDH260101,PA251216011,V253262,100239228,C0503015,FL-FW25259J,"K208单层网布180g 54""",01F7白,62.3,码,,5,,311.5,
2026-01-12 00:00:00,FLDH260101,PA251216011,V253270,100239228,C0503015,FL-FW25259J,"K208单层网布180g 54""",01F7白,9.3,码,,5,,46.5,
2026-01-12 00:00:00,FLDH260102,PA251216011,V253257,100272330,C0504105,FL-FW25259J,"K208单层网布180g 54""",118-30-29蓝,45.5,码,,5,,227.5,
2026-01-12 00:00:00,FLDH260102,PA251216011,V253259,100272330,C0504105,FL-FW25259J,"K208单层网布180g 54""",118-30-29蓝,17.1,码,,5,300,385.5,
2026-01-12 00:00:00,FLDH260103,PA251216011,V253256,100272331,C0504106,FL-FW25259J,"K208单层网布180g 54""",154-77-21粉,51.5,码,,5,,257.5,
2026-01-12 00:00:00,FLDH260103,PA251216011,V253258,100272331,C0504106,FL-FW25259J,"K208单层网布180g 54""",154-77-21粉,17.1,码,,5,300,385.5,
2026-01-12 00:00:00,FLDH260104,PA251216011,V253261,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,6.6,码,,5,,33,
2026-01-12 00:00:00,FLDH260104,PA251216011,V253263,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,44.1,码,,5,,220.5,
2026-01-12 00:00:00,FLDH260104,PA251216011,V253268,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,10.8,码,,5,,54,
2026-01-12 00:00:00,FLDH260105,PA251217013,K250001,332D65W-A1K,C0504300,KS-26102K,"K106单层网布180g 54""",黄色16-1144TPG,234,码,,4.5,,1053,
2026-01-12 00:00:00,FLDH260105,PA251217013,K250002,36294EW-A06,C0504300,KS-26102W,"K106单层网布180g 54""",黄色16-1144TPG,174.1,码,,4.5,,783.45,
2026-01-12 00:00:00,FLDH260105,PA251227027,PPS0002,332D65W-A1K,C0504300,AS26011K-B,"K106单层网布180g 54""",黄色16-1144TPG,0.3,码,,4.5,,1.35,
2026-01-12 00:00:00,FLDH260105,PA251227027,PPS0005,36294EW-A06,C0504300,AS26011W-B,"K106单层网布180g 54""",黄色16-1144TPG,0.7,码,,4.5,,3.15,
2026-01-12 00:00:00,FLDH260106,PA251227027,PPS0008,372B5RW-A1B,C0504092,AS26011K,"K106单层网布180g 54""",109-98-01白色,1,码,,4.5,,4.5,
2026-01-12 00:00:00,FLDH260106,PA251227026,K250010,372B5RW-A1B,C0504092,AS26011K,"K106单层网布180g 54""",109-98-01白色,0.8,码,,4.5,,3.6,
2026-01-12 00:00:00,FLDH260107,PA251226003,V253226,100275869,C0501825,FL-SS25003U,"DJ132单层网布240g 54""",109-98-01白,33.9,码,,7,,237.3,
2026-01-12 00:00:00,FLDH260107,PA251227027,PPS0013,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,1,码,,7,,7,
2026-01-12 00:00:00,FLDH260107,PA251227026,K250086,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,0.3,码,,7,,2.1,
2026-01-12 00:00:00,FLDH260107,PA251227026,K250087,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,3.5,码,,7,,24.5,
2026-01-12 00:00:00,FLDH260107,PA251227026,K250088,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,6.2,码,,7,,43.4,
2026-01-12 00:00:00,FLDH260107,PA251227026,K250089,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,3.2,码,,7,,22.4,
2026-01-12 00:00:00,FLDH260108,PA251227026,K250090,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,1.4,码,,7,,9.8,
2026-01-12 00:00:00,FLDH260108,PA251230004,K250099,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,1.3,码,,7,,9.1,
2026-01-12 00:00:00,FLDH260108,PA251230004,K250100,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,2.7,码,,7,,18.9,
2026-01-12 00:00:00,FLDH260108,PA251230004,K250101,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.5,码,,7,,3.5,
2026-01-12 00:00:00,FLDH260108,PA251230004,K250102,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,10.6,码,,7,,74.2,
2026-01-12 00:00:00,FLDH260109,PA251230004,K250103,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,17.9,码,,7,,125.3,
2026-01-12 00:00:00,FLDH260109,PA251230004,K250104,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,24.5,码,,7,,171.5,
2026-01-12 00:00:00,FLDH260109,PA251230004,K250109,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,1.4,码,,7,,9.8,
2026-01-12 00:00:00,FLDH260109,PA251230004,K250110,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,3.1,码,,7,,21.7,
2026-01-12 00:00:00,FLDH260109,PA251230004,K250111,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,18.8,码,,7,,131.6,
2026-01-12 00:00:00,FLDH260110,PA251230004,K250112,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,21.2,码,,7,,148.4,
2026-01-12 00:00:00,FLDH260110,PA251230005,K250092,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.1,码,,7,,0.7,
2026-01-12 00:00:00,FLDH260110,PA251230005,PPS0034,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.3,码,,7,,2.1,
2026-01-12 00:00:00,FLDH260110,PA251230005,PPS0036,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,0.5,码,,7,,3.5,
2026-01-12 00:00:00,FLDH260110,PA260106024,K260003,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,4.7,码,,7,,32.9,
2026-01-12 00:00:00,FLDH260111,PA251227027,PPS0008,372B5RW-A1B,C0300122,AS26011K,"600D尼龙牛津布上防脱纱 58""",109-98-01白色,1,码,,16,,16,
2026-01-12 00:00:00,FLDH260111,PA251227026,K250010,372B5RW-A1B,C0300122,AS26011K,"600D尼龙牛津布上防脱纱 58""",109-98-01白色,0.9,码,,16,,14.4,
2026-01-12 00:00:00,FLDH260111,PA251227027,PPS0007,372B5RW-A0H,C0300134,AS26011K,"600D尼龙牛津布上防脱纱 58""",139-18-00黑色,1,码,,16,,16,
2026-01-12 00:00:00,FLDH260111,PA251227026,K250009,372B5RW-A0H,C0300134,AS26011K,"600D尼龙牛津布上防脱纱 58""",139-18-00黑色,0.9,码,,16,,14.4,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0014,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,6.8,,1.36,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0015,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,6.8,,1.36,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0018,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,6.8,,1.36,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0020,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,6.8,,1.36,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0022,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0024,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0026,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0028,382M38W-A00,C0503935,AS26005K-1,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260112,PA251227027,PPS0030,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,1,码,,6.8,,6.8,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250012,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,35.3,码,,6.8,,240.04,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250013,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,70.9,码,,6.8,,482.12,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250014,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,80.7,码,,6.8,,548.76,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250015,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,22.4,码,,6.8,,152.32,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250020,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,100,码,,6.8,,680,
