泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市联大鞋业有限公司,,,,,NO.：,LD251103,,,,,,,,,,,,,,,
地址：福建省莆田市城厢区华林工业区,,,,,送货日期：,2025-11-20 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面9#,灰色,217,双,,,,3件,,,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面11#,灰色,66,双,,,,,,,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面9#,沥青色,178,双,,,,,,,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面11#,沥青色,147,双,,,,,,,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面11#,黑色,71,双,,,,,,,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面8.5,礼服蓝,40,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面9,礼服蓝,193,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面8,灰色,38,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面8.5,灰色,96,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面10,灰色,220,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面10.5,灰色,21,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面9,黑色,79,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面8.5,黑色,56,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面10,黑色,83,双,,,,,LD251002,2025-10-15 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面10.5,沥青色,60,双,,,,5件,LD251003,2025-10-15 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面9,沥青色,37,双,,,,,LD251003,2025-10-15 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面8.5,沥青色,100,双,,,,,LD251003,2025-10-15 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面10,沥青色,124,双,,,,,LD251003,2025-10-15 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面8,沥青色,55,双,,,,,LD251003,2025-10-15 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋面10.5,黑色,83,双,,,,,LD251003,2025-10-15 00:00:00,,,,,,,,,,
