泉州阳硕鞋材有限公司,,,,,,,,,,,,收货人填 13706060768dick郑，,
送 货 单,,,,,,,,,,,,,
收货单位：福建安恒致远鞋业有限公司（越南）,,,,,,,NO.：,APEX2603006,,,,,
地址：福建省莆田市涵江区国欢镇林炳村涵华东路,,,,,,,送货日期：,2026-03-08 00:00:00,,,,,
订单号,指令号,材料名称,规格,颜色,数量,单位,支数,单价,金额,批号,,,
AHJPO2580188,ZVN25001-007-4,三明治网布,"54""",白色,23,Y,1,,,,APEX2512005,2025-12-23 00:00:00,
AHJPO2580188,ZVN25007-031-2,毛巾布,"54""",米白11-0701TPG,33,Y,,,,,APEX2512009,2025-12-26 00:00:00,91+64=155
AHJPO2580188,ZVN25007-031-2,毛巾布,"54""",米白11-0701TPG,40,Y,2,,,,APEX2601001,2026-01-02 00:00:00,
AHJPO2580188,ZVN25007-031-3,毛巾布,"54""",米白11-0701TPG,126,Y,,,,,APEX2601001,2026-01-02 00:00:00,
97+69=166,,小缸费,,米白11-0701TPG,1,个,,,,,APEX2601001,2026-01-02 00:00:00,
AHJPO2580188,ZVN25001-007-4,8安  帆布,"54""",黑夜藍19-4023 TPG,74,Y,1,,,,APEX2601001,2026-01-02 00:00:00,
,,小缸费,,黑夜藍19-4023 TPG,1,个,,,,,APEX2601001,2026-01-02 00:00:00,
AHJPO2580188,ZVN25002-049-1,8安  帆布,"54""",軟木褐16-1422 TPG,41,Y,1,,,,APEX2601002,2026-01-04 00:00:00,
,,小缸费,,軟木褐16-1422 TPG,1,个,,,,,APEX2601002,2026-01-04 00:00:00,
AHJPO2580188,ZVN25007-036-2,8安  帆布,"54""",古沙色15-1314TPG,66,Y,1,,,,APEX2601002,2026-01-04 00:00:00,
,,小缸费,,古沙色15-1314TPG,1,个,,,,,APEX2601002,2026-01-04 00:00:00,
AHJPO2580188,ZVN25002-051-1,8安  帆布,"54""",淺沙褐14-1210TPG-1,321,Y,3,,,,APEX2601002,2026-01-04 00:00:00,
120*2+81=321,,小缸费,,淺沙褐14-1210TPG-1,1,个,,,,,APEX2601002,2026-01-04 00:00:00,
AHJPO2580188,ZVN25001-038- 2open,8安  帆布,"54""",真實紅19-1664TPG,3,Y,1,,,,APEX2601002,2026-01-04 00:00:00,
AHJPO2580188,ZVN25001-038-2,8安  帆布,"54""",真實紅19-1664TPG,45,Y,,,,,APEX2601002,2026-01-04 00:00:00,
,,小缸费,,真實紅19-1664TPG,1,个,,,,,APEX2601002,2026-01-04 00:00:00,
AHJPO2580188,ZVN25002-057-2,8安  帆布,"54""",雕褐色14-1310TPG,51,码,3,,,,APEX2601003,2026-01-06 00:00:00,
AHJPO2580379,ZVN25007-073,8安  帆布,"54""",雕褐色14-1310TPG,42,码,,,,,APEX2601003,2026-01-06 00:00:00,
AHJPO2581109,ZVN25007-031-4,8安  帆布,"54""",雕褐色14-1310TPG,84,Y,,,,,APEX2601003,2026-01-06 00:00:00,90+60+27=177
,,小缸费,,雕褐色14-1310TPG,1,个,,,,,APEX2601003,2026-01-06 00:00:00,
AHJPO2581109,ZVN25010-084,"毛巾布 54""","54""",米白(11-0701TPG),78,Y,3,,,,APEX2601004,2026-01-07 00:00:00,
AHJPO2581109,ZVN25007-031-4,"毛巾布 54""","54""",米白(11-0701TPG),146,Y,,,,,APEX2601004,2026-01-07 00:00:00,
100*2+24=224,,小缸费,,米白(11-0701TPG),1,个,,,,,APEX2601004,2026-01-07 00:00:00,
AHJPO2581109,ZVN25012-059-1,佳积布,1.5m 110g,白色,33,Y,1,,,,APEX2601004,2026-01-07 00:00:00,
AHJPO2581109,ZVN25012-059-1open,佳积布,1.5m 110g,白色,2,Y,,,,,APEX2601004,2026-01-07 00:00:00,
AHJPO2581109,ZVN25010-084,佳积布,"120g* 54""",白色,78,Y,2,,,,APEX2601004,2026-01-07 00:00:00,
AHJPO2581109,ZVN25007-031-4,佳积布,"120g* 54""",白色,202,Y,,,,,APEX2601004,2026-01-07 00:00:00,
AHJPO2581109,ZVN25010-085,佳积布,"120g* 54""",白色,78,Y,,,,,APEX2601004,2026-01-07 00:00:00,175+183=358
AHJPO2581109,ZVN25012-059-1,QS-14736 三明治网布,"54""",葵蜜色(11-4300TPG),12,Y,1,,,,APEX2601005,2026-01-07 00:00:00,
AHJPO2581109,ZVN25012-059-1open,QS-14736 三明治网布,"54""",葵蜜色(11-4300TPG),1,Y,,,,,APEX2601005,2026-01-07 00:00:00,
,,小缸费,,葵蜜色(11-4300TPG),1,个,,,,,APEX2601005,2026-01-07 00:00:00,
AHJPO2581109,ZVN25012-059-1,"180g 丝光布 54""","54""",葵蜜色11-4300TPG,18,Y,1,,,,APEX2601005,2026-01-07 00:00:00,
AHJPO2581109,ZVN25012-059-1open,"180g 丝光布 54""","54""",葵蜜色11-4300TPG,1,Y,,,,,APEX2601005,2026-01-07 00:00:00,
,,小缸费,,葵蜜色11-4300TPG,1,个,,,,,APEX2601005,2026-01-07 00:00:00,
AHJPO2580188,ZVN25002-018-9,YS-0731 三 明治网布,"54""",烏鴉咖19-0000TPG,19,Y,1,,,,APEX2601005,2026-01-07 00:00:00,
,,小缸费,,烏鴉咖19-0000TPG,1,个,,,,,APEX2601005,2026-01-07 00:00:00,
AHJPO2580379,ZVN25002-079,YS-0731 三 明治网布,"54""",黑色,53,Y,2,,,,APEX2601006,2026-01-07 00:00:00,
AHJPO2580379,ZVN25002-079open,YS-0731 三 明治网布,"54""",黑色,3,Y,,,,,APEX2601006,2026-01-07 00:00:00,70+3=73
AHJPO2580379,ZVN25002-079-1,YS-0731 三 明治网布,"54""",黑色,17,Y,,,,,APEX2601006,2026-01-07 00:00:00,
AHJPO2580188,ZVN25002-018-8,8安 帆布,"54""",羊皮色14-1122TPG,29,Y,2,,,,APEX2601007,2026-01-08 00:00:00,
AHJPO2580188,ZVN25002-018-9,8安 帆布,"54""",羊皮色14-1122TPG,195,Y,,,,,APEX2601007,2026-01-08 00:00:00,120+104=224
,,小缸费,,羊皮色14-1122TPG,1,个,,,,,APEX2601007,2026-01-08 00:00:00,
AHJPO2580379,ZVN25001-074,8安 帆布,"54""",赤熱綠13-0442TPG,44,码,1,,,,APEX2601008,2026-01-09 00:00:00,
AHJPO2580379,ZVN25001-074open,8安 帆布,"54""",赤熱綠13-0442TPG,3,码,,,,,APEX2601008,2026-01-09 00:00:00,
,,小缸费,,赤熱綠13-0442TPG,1,个,,,,,APEX2601008,2026-01-09 00:00:00,
AHJPO2580379,ZVN25002-078,8安 帆布,"54""",摩根石12-2901TPG,41,码,1,,,,APEX2601008,2026-01-09 00:00:00,
AHJPO2580379,ZVN25002-078open,8安 帆布,"54""",摩根石12-2901TPG,3,码,,,,,APEX2601008,2026-01-09 00:00:00,
,,小缸费,,摩根石12-2901TPG,1,个,,,,,APEX2601008,2026-01-09 00:00:00,
AHJPO2580188,ZVN25001-011-2,8安 帆布,"54""",橙子橘15-1247TPG,50,Y,1,,,,APEX2601008,2026-01-09 00:00:00,
,,小缸费,,橙子橘15-1247TPG,1,个,,,,,APEX2601008,2026-01-09 00:00:00,
