泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,帆布不够500Y，小缸费500
2026年01月份请款明细（大货）,,,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司（越南安恒）,,,,,,,,,,,,,,,,
ATTN：康小姐,,,CC：财务,,,,,,,,币别:人民币,,,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注,,
17,2025-12-23 00:00:00,APEX2512005,AHJPO2580188,ZVN25001-007-4,三明治网布,"54""",白色,全代,23,Y,14.5,,333.5,,,
36,2025-12-26 00:00:00,APEX2512009,AHJPO2580188,ZVN25007-031-2,毛巾布,"54""",米白11-0701TPG,全代,33,Y,7.5,,247.5,,,
36,2026-01-02 00:00:00,APEX2601001,AHJPO2580188,ZVN25007-031-2,毛巾布,"54""",米白11-0701TPG,全代,40,Y,7.5,,300,,,
36,2026-01-02 00:00:00,APEX2601001,AHJPO2580188,ZVN25007-031-3,毛巾布,"54""",米白11-0701TPG,全代,126,Y,7.5,300,1245,,,
36,2026-01-02 00:00:00,APEX2601001,AHJPO2580188,ZVN25001-007-4,8安  帆布,"54""",黑夜藍19-4023 TPG,全代,74,Y,13,500,1462,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25002-049-1,8安  帆布,"54""",軟木褐16-1422 TPG,全代,41,Y,13,500,1033,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25007-036-2,8安  帆布,"54""",古沙色15-1314TPG,全代,66,Y,13,500,1358,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25002-051-1,8安  帆布,"54""",淺沙褐14-1210TPG-1,全代,321,Y,13,500,4673,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25001-038- 2open,8安  帆布,"54""",真實紅19-1664TPG,全代,3,Y,13,,39,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25001-038-2,8安  帆布,"54""",真實紅19-1664TPG,全代,45,Y,13,500,1085,,,
