泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2025年01-04月份请款明细,,,,,,,,,,,,,,,
TO：,宁波顶峰户外服饰有限公司,,,,,,,,,,,,,,
ATTN：,柯先生,,,,,,,币别:人民币,,,,,,,
日 期,送货单号,客户单号,"指令
型体",品   名,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注,,,
2025-01-11 00:00:00,DF250101,,,超细金光绒,白色,2.8,KG,,29,,81.2,,,,
2025-03-19 00:00:00,DF2503001,,,超细金光绒,黑色,42.6,KG,,29,300,1535.4,,,,
2025-03-19 00:00:00,DF2503001,,,超细金光绒,米白,3,KG,,29,,87,,,,
2025-03-19 00:00:00,DF2503001,,,超细金光绒,黑色,1,KG,,29,,29,,,,
2025-03-19 00:00:00,DF2503001,,,超细金光绒,苹果绿,1,KG,,29,,29,,,,
2025-03-19 00:00:00,DF2503001,,,超细金光绒,深绿,1,KG,,29,,29,,,,
2025-04-02 00:00:00,DF2504001,,,超细金光绒,白色,10.5,KG,,29,,304.5,,,,
2025-04-18 00:00:00,DF2504002,,,超细金光绒1.5*150g/㎡,黑色,558,KG,,29,,16182,,,,
2025-04-18 00:00:00,DF2504002,,,超细金光绒1.5*150g/㎡,黑色19-4006TCX,124.3,KG,,29,,3604.7,,,,
2025-04-18 00:00:00,DF2504002,,,超细金光绒1.5*150g/㎡,藏青19-3921TCX,21.2,KG,,29,300,914.8,,,,
2025-04-18 00:00:00,DF2504002,,,超细金光绒1.5*150g/㎡,灰绿18-0312TCX,27.8,KG,,29,300,1106.2,,,,
,,,,以下空白,,,,,,,,,,,
,,,,合       计：,,793.2,,,,,23902.8,,,,
,,,,人民币大写：,贰万叁仟玖佰零贰元捌角整,,,,,,,,,,
客户回签:,,,,审  核：,,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,,
