阳 硕 鞋 材 订 购 单,,,,,,,,
供应商：鑫达盛,,,,,,,编号：,K7733
电  话：,,,,,,,日期：,2026-01-17 00:00:00
序号,品    名,规  格,颜 色,单位,数量,含税价,交 期,备  注
1,中圆点,180平方克*针内1.5米,蓝色282C,Y,450,,1/28,附色卡
2,中圆点,180平方克*针内1.5米,珊瑚绿7722C,Y,459,,1/28,附色卡
,,做四级可天那水测试！数量不要短少！,,,,,,
,,以下空白,,,,,,
合     计,,,,,,,,
品 质 要 求,1、鞋材用，完全同我司附样安排生产。,,,,,,,
,2、宽幅要足；对飞利浦D65，颜色请务必对准，材料不可移色，色牢度需达3.5级以上。,,,,,,,
,"3、符合欧盟及美线环保标准：含铅<90ppm,邻苯二甲酸盐<1000ppm，甲醛<20mg/kg，",,,,,,,
,不含偶氮、镉、镍、六价格、无氯苯酚等，须过A-01测试。,,,,,,,
,"4、出货前请提供大货确认样,待确认OK后方可安排出货！",,,,,,,
,供应商：,,,,,,,采购：戴春莲
